OBJECTID;Orszag_nev;Telepules_nev;Shape_Length;Shape_Area
1;Magyarország;Aldebrõ;39222,28892;21777372,46
2;Magyarország;Andornaktálya;17361,98937;16745194,9
3;Magyarország;Bogács;24307,35364;24693243,37
4;Magyarország;Bükkzsérc;38927,15512;37247218,12
5;Magyarország;Cserépfalu;34576,28997;44643461,5
6;Magyarország;Cserépváralja;20109,39579;14613526,11
7;Magyarország;Demjén;24857,38528;25085217,3
8;Magyarország;Eger;58740,91491;92196807,77
9;Magyarország;Egerbakta;24607,7579;32376211,75
10;Magyarország;Egerszalók;28043,90965;23107658,12
11;Magyarország;Egerszólát;28787,37141;26098153,9
12;Magyarország;Feldebrõ;28198,10891;26516717,17
13;Magyarország;Felsõtárkány;41025,76156;77326681,72
14;Magyarország;Kál;31353,9753;34808148,98
15;Magyarország;Kápolna;25494,48075;21510446,01
16;Magyarország;Kerecsend;19719,85272;24579783,29
17;Magyarország;Kompolt;29078,23187;22727108,97
18;Magyarország;Maklár;24294,47804;28008101,93
19;Magyarország;Nagytálya;17819,76516;13185053,91
20;Magyarország;Noszvaj;22737,79612;18842366
21;Magyarország;Novaj;20496,5767;18519508,41
22;Magyarország;Ostoros;29191,73647;23517531,54
23;Magyarország;Sirok;41137,35932;63389572,33
24;Magyarország;Szarvaskõ;16070,85466;12589147,6
25;Magyarország;Szomolya;20889,95212;22687395,17
26;Magyarország;Tarnaszentmária;18060,79831;11004343,23
27;Magyarország;Tófalu;23296,36031;14481160,73
28;Magyarország;Verpelét;47925,25104;53182696,23
