OBJECTID;Orszag_nev;Telepules_nev;Epuletenergetikai_tombazonosito;Shape_Length;Shape_Area
10;Magyarország;Aldebrõ;Aldebrõ_001;3574,398112;110930,6508
11;Magyarország;Aldebrõ;Aldebrõ_002;4012,281012;231765,253
12;Magyarország;Aldebrõ;Aldebrõ_003;1612,433654;73693,48911
13;Magyarország;Aldebrõ;Aldebrõ_004;395,8031739;7464,90415
14;Magyarország;Aldebrõ;Aldebrõ_005;334,3204252;7226,65845
15;Magyarország;Aldebrõ;Aldebrõ_006;1106,191082;61856,42628
16;Magyarország;Aldebrõ;Aldebrõ_007;316,701116;4540,2442
17;Magyarország;Aldebrõ;Aldebrõ_008;571,7865248;19712,21105
18;Magyarország;Aldebrõ;Aldebrõ_009;556,9224236;18094,53414
19;Magyarország;Aldebrõ;Aldebrõ_010;2259,532353;131094,5586
20;Magyarország;Aldebrõ;Aldebrõ_011;451,2051672;12925,14545
21;Magyarország;Aldebrõ;Aldebrõ_012;4461,227886;142498,23
22;Magyarország;Aldebrõ;Aldebrõ_013;622,2789864;15352,68662
23;Magyarország;Aldebrõ;Aldebrõ_014;273,7159192;3915,800834
24;Magyarország;Aldebrõ;Aldebrõ_015;416,3402016;10889,85488
25;Magyarország;Aldebrõ;Aldebrõ_016;410,2310666;10350,77751
26;Magyarország;Aldebrõ;Aldebrõ_017;309,8966318;5878,4916
27;Magyarország;Aldebrõ;Aldebrõ_018;313,6646027;6010,574913
28;Magyarország;Aldebrõ;Aldebrõ_019;318,0519371;6240,708689
29;Magyarország;Aldebrõ;Aldebrõ_020;760,9302799;29021,28209
30;Magyarország;Aldebrõ;Aldebrõ_021;443,3272258;11900,77856
31;Magyarország;Aldebrõ;Aldebrõ_022;277,5336076;2927,178835
32;Magyarország;Aldebrõ;Aldebrõ_023;954,451004;34601,07685
35;Magyarország;Andornaktálya;Andornaktálya_012;308,1202399;2932,815
36;Magyarország;Andornaktálya;Andornaktálya_041;124,6884234;964,14
37;Magyarország;Andornaktálya;Andornaktálya_054;212,6128542;2442,57
38;Magyarország;Andornaktálya;Andornaktálya_054;132,1672254;1030,555288
39;Magyarország;Andornaktálya;Andornaktálya_055;193,3217987;2368,005
40;Magyarország;Andornaktálya;Andornaktálya_055;441,3252362;5694,005
41;Magyarország;Andornaktálya;Andornaktálya_064;232,7227335;1509,045
46;Magyarország;Andornaktálya;Andornaktálya_019;709,6862686;15609,50002
47;Magyarország;Andornaktálya;Andornaktálya_021;222,0016881;3076,54068
48;Magyarország;Andornaktálya;Andornaktálya_022;424,2756461;9564,35
49;Magyarország;Andornaktálya;Andornaktálya_024;989,5183874;21520,46995
50;Magyarország;Andornaktálya;Andornaktálya_025;731,9788888;17930,50997
51;Magyarország;Andornaktálya;Andornaktálya_026;741,9495264;20895,58048
52;Magyarország;Andornaktálya;Andornaktálya_027;815,0959196;34500,35592
53;Magyarország;Andornaktálya;Andornaktálya_029;363,9593906;7096,77
54;Magyarország;Andornaktálya;Andornaktálya_030;450,2281408;12609,14504
55;Magyarország;Andornaktálya;Andornaktálya_031;504,5176492;15335,25413
56;Magyarország;Andornaktálya;Andornaktálya_032;411,9830788;9637,224132
57;Magyarország;Andornaktálya;Andornaktálya_033;366,7910939;7710,160094
58;Magyarország;Andornaktálya;Andornaktálya_035;383,5421657;8157,273255
59;Magyarország;Andornaktálya;Andornaktálya_036;438,3329367;10836,21216
60;Magyarország;Andornaktálya;Andornaktálya_037;820,6412102;22228,805
61;Magyarország;Andornaktálya;Andornaktálya_038;802,7219242;31681,48444
62;Magyarország;Andornaktálya;Andornaktálya_039;505,7934667;12868,115
63;Magyarország;Andornaktálya;Andornaktálya_041;145,8723831;1315,06
64;Magyarország;Andornaktálya;Andornaktálya_042;184,459905;1671,620215
65;Magyarország;Andornaktálya;Andornaktálya_043;742,8920037;30056,13988
66;Magyarország;Andornaktálya;Andornaktálya_044;592,2608907;14198,63001
67;Magyarország;Andornaktálya;Andornaktálya_046;1253,068592;41457,0748
68;Magyarország;Andornaktálya;Andornaktálya_047;1194,720061;42898,04488
69;Magyarország;Andornaktálya;Andornaktálya_048;1337,03601;54971,815
70;Magyarország;Andornaktálya;Andornaktálya_049;562,3679427;13232,11532
71;Magyarország;Andornaktálya;Andornaktálya_050;664,7010671;15852,4
72;Magyarország;Andornaktálya;Andornaktálya_051;871,6585058;24718,585
73;Magyarország;Andornaktálya;Andornaktálya_053;325,6619428;5064,495
74;Magyarország;Andornaktálya;Andornaktálya_054;265,9492238;4137,89
75;Magyarország;Andornaktálya;Andornaktálya_054;160,7585964;1437,134712
76;Magyarország;Andornaktálya;Andornaktálya_054;219,7506374;2273,135
77;Magyarország;Andornaktálya;Andornaktálya_055;141,1748354;823,595
78;Magyarország;Andornaktálya;Andornaktálya_057;238,3196718;2711,535
79;Magyarország;Andornaktálya;Andornaktálya_058;506,2982612;13868,27091
80;Magyarország;Andornaktálya;Andornaktálya_059;406,403023;7081,705
81;Magyarország;Andornaktálya;Andornaktálya_060;261,8214866;4040,6
82;Magyarország;Andornaktálya;Andornaktálya_061;94,57561374;535,08
85;Magyarország;Andornaktálya;Andornaktálya_001;951,4180049;28852,15977
86;Magyarország;Andornaktálya;Andornaktálya_002;446,4361946;11042,01145
87;Magyarország;Andornaktálya;Andornaktálya_003;568,9114151;17351,29366
88;Magyarország;Andornaktálya;Andornaktálya_004;591,5831232;20510,61379
89;Magyarország;Andornaktálya;Andornaktálya_005;224,7270138;2985,410175
90;Magyarország;Andornaktálya;Andornaktálya_006;541,3118934;18506,88929
91;Magyarország;Andornaktálya;Andornaktálya_007;774,9405909;27357,35937
92;Magyarország;Andornaktálya;Andornaktálya_008;392,1247881;8955,095
93;Magyarország;Andornaktálya;Andornaktálya_009;1266,343656;41187,29442
94;Magyarország;Andornaktálya;Andornaktálya_010;1795,011344;90765,39476
95;Magyarország;Andornaktálya;Andornaktálya_011;345,4614905;3747,94536
