OBJECTID;Orszag_nev;Telepules_nev;Telepulesresz_nev;Tortenelmi_varosresz_nev;Fekves;Helyrajziszam_teljes;Helyrajziszam_egyedi;Muvelesiag;Utcanev;Utcanev_telek;Kozut_szama;Vasut_szama;Hazszam_telek;Vedett_terulet_nev;Vedett_terulet_kategoria;Natura2000_SCI_kod;Natura2000_SCI_nev;Natura2000_SPA_kod;Natura2000_SPA_nev;Dulo_OEM_borvidek_nev;Dulo_OEM_kod;Dulo_OEM_nev;Epuletenergetikai_tombazonosito;Tortenelmi_varosresz_nev_modositott;Iranyitoszam;KSH_korzet;Postacim_rovid;Shape_Length;Shape_Area
91310;Magyarország;Szarvaskő;;;belterület;1;HUN_Szarvaskő_1;művelés alól kivett;;Fő utca;;;40;;;;;;;;;;Szarvaskő_007;;3323;Szarvaskő;;75,010948571853632;263,389999987035990
91311;Magyarország;Szarvaskő;;;belterület;10/1;HUN_Szarvaskő_10/1;művelés alól kivett;;Fő utca;;;28;;;;;;;;;;Szarvaskő_007;;3323;Szarvaskő;;125,149716844753000;483,735000014267880
91312;Magyarország;Szarvaskő;;;belterület;10/2;HUN_Szarvaskő_10/2;művelés alól kivett;;Fő utca;;;26;;;;;;;;;;Szarvaskő_007;;3323;Szarvaskő;;127,661756763469550;343,424999975785680
91313;Magyarország;Szarvaskő;;;belterület;100;HUN_Szarvaskő_100;művelés alól kivett;;Teréz utca;;;15;;;;;;;;;;Szarvaskő_015;;3323;Szarvaskő;;114,621553136846930;565,055000018961660
91314;Magyarország;Szarvaskő;;;belterület;101;HUN_Szarvaskő_101;művelés alól kivett;;Petőfi Sándor utca;;;20;;;;;;;;;;Szarvaskő_011;;3323;Szarvaskő;;257,095865304501500;3049,940000155046600
91315;Magyarország;Szarvaskő;;;belterület;102;HUN_Szarvaskő_102;művelés alól kivett;;Petőfi Sándor utca;;;;;;;;;;;;;;;3323;Szarvaskő;;20,359870627406938;24,629999999590218
91316;Magyarország;Szarvaskő;;;belterület;103;HUN_Szarvaskő_103;művelés alól kivett;;Petőfi Sándor utca;;;;;;;;;;;;;;;3323;Szarvaskő;;273,045086016374110;4129,769999991469400
91317;Magyarország;Szarvaskő;;;belterület;104;HUN_Szarvaskő_104;művelés alól kivett;;Petőfi Sándor utca;;;16-18;;;;;;;;;;Szarvaskő_011;;3323;Szarvaskő;;274,347212163026260;2382,909999802117000
91318;Magyarország;Szarvaskő;;;belterület;105;HUN_Szarvaskő_105;művelés alól kivett;;Petőfi Sándor utca;;;14;;;;;;;;;;Szarvaskő_011;;3323;Szarvaskő;;238,681984486232950;2190,185000027678600
91319;Magyarország;Szarvaskő;;;belterület;106;HUN_Szarvaskő_106;művelés alól kivett;;Petőfi Sándor utca;;;12;;;;;;;;;;Szarvaskő_011;;3323;Szarvaskő;;121,129014486774960;576,745000046603310
91320;Magyarország;Szarvaskő;;;belterület;109;HUN_Szarvaskő_109;művelés alól kivett;;Petőfi Sándor utca;;;10/a;;;;;;;;;;Szarvaskő_011;;3323;Szarvaskő;;136,088629107949940;607,994999967254670
91321;Magyarország;Szarvaskő;;;belterület;11;HUN_Szarvaskő_11;művelés alól kivett;;Fő utca;;;24;;;;;;;;;;Szarvaskő_007;;3323;Szarvaskő;;133,843015144457610;398,165000004358600
91322;Magyarország;Szarvaskő;;;belterület;110;HUN_Szarvaskő_110;művelés alól kivett;;Petőfi Sándor utca;;;10;;;;;;;;;;Szarvaskő_011;;3323;Szarvaskő;;152,520173261248400;859,580000077076190
91323;Magyarország;Szarvaskő;;;belterület;111;HUN_Szarvaskő_111;művelés alól kivett;;Petőfi Sándor utca;;;8;;;;;;;;;;Szarvaskő_011;;3323;Szarvaskő;;88,362603787659040;299,965000016093310
91324;Magyarország;Szarvaskő;;;belterület;112;HUN_Szarvaskő_112;művelés alól kivett;;Petőfi Sándor utca;;;6;;;;;;;;;;Szarvaskő_011;;3323;Szarvaskő;;133,032376166238070;788,129999987669290
91325;Magyarország;Szarvaskő;;;belterület;113;HUN_Szarvaskő_113;művelés alól kivett;;Petőfi Sándor utca;;;4;;;;;;;;;;Szarvaskő_011;;3323;Szarvaskő;;130,508844110693990;632,710000020973440
91326;Magyarország;Szarvaskő;;;belterület;114;HUN_Szarvaskő_114;művelés alól kivett;;Petőfi Sándor utca;;;2;;;;;;;;;;Szarvaskő_011;;3323;Szarvaskő;;97,801188139007408;636,000000000186220
91327;Magyarország;Szarvaskő;;;belterület;115;HUN_Szarvaskő_115;művelés alól kivett;;Fő utca;;;13;;;;;;;;;;Szarvaskő_011;;3323;Szarvaskő;;107,757047600121070;707,139999966733170
91328;Magyarország;Szarvaskő;;;belterület;116;HUN_Szarvaskő_116;művelés alól kivett;;Fő utca;;;15;;;;;;;;;;Szarvaskő_011;;3323;Szarvaskő;;122,856741890623340;584,800000028125960
91329;Magyarország;Szarvaskő;;;belterület;117;HUN_Szarvaskő_117;művelés alól kivett;;Fő utca;;;17;;;;;;;;;;Szarvaskő_011;;3323;Szarvaskő;;123,739828960154000;698,899999932385980
91330;Magyarország;Szarvaskő;;;belterület;118;HUN_Szarvaskő_118;művelés alól kivett;;Fő utca;;;19;;;;;;;;;;Szarvaskő_011;;3323;Szarvaskő;;146,944085387025610;683,854999950788850
91331;Magyarország;Szarvaskő;;;belterület;119;HUN_Szarvaskő_119;művelés alól kivett;;Fő utca;;;21;;;;;;;;;;Szarvaskő_011;;3323;Szarvaskő;;154,811447555881360;772,105000051744470
91332;Magyarország;Szarvaskő;;;belterület;12/1;HUN_Szarvaskő_12/1;művelés alól kivett;;Fő utca;;;22;;;;;;;;;;Szarvaskő_007;;3323;Szarvaskő;;165,640900517239000;822,739999951832030
91333;Magyarország;Szarvaskő;;;belterület;12/2;HUN_Szarvaskő_12/2;művelés alól kivett;;Fő utca;;;20;;;;;;;;;;Szarvaskő_007;;3323;Szarvaskő;;206,742818191409980;1361,414999962449000
91334;Magyarország;Szarvaskő;;;belterület;120;HUN_Szarvaskő_120;művelés alól kivett;;Fő utca;;;23;;;;;;;;;;Szarvaskő_011;;3323;Szarvaskő;;151,318521960806440;733,894999967254650
91335;Magyarország;Szarvaskő;;;belterület;121;HUN_Szarvaskő_121;művelés alól kivett;;Kisköz utca;;;1;;;;;;;;;;Szarvaskő_011;;3323;Szarvaskő;;141,392655700495080;619,305000035911800
91336;Magyarország;Szarvaskő;;;belterület;122;HUN_Szarvaskő_122;művelés alól kivett;;Kisköz utca;;;3;;;;;;;;;;Szarvaskő_011;;3323;Szarvaskő;;151,396006580822270;1253,520000070072700
91337;Magyarország;Szarvaskő;;;belterület;123;HUN_Szarvaskő_123;művelés alól kivett;;Kisköz utca;;;5;;;;;;;;;;Szarvaskő_011;;3323;Szarvaskő;;115,855283817158150;598,245294968700930
91338;Magyarország;Szarvaskő;;;belterület;124;HUN_Szarvaskő_124;művelés alól kivett;Kisköz utca;;;;;;;;;;;;;;;;3323;Szarvaskő;;134,022998349739770;288,165000011809180
91339;Magyarország;Szarvaskő;;;belterület;125;HUN_Szarvaskő_125;művelés alól kivett;;Fő utca;;;25;;;;;;;;;;Szarvaskő_011;;3323;Szarvaskő;;68,151019127774163;274,705000016726560
91340;Magyarország;Szarvaskő;;;belterület;126;HUN_Szarvaskő_126;művelés alól kivett;;Fő utca;;;27;;;;;;;;;;Szarvaskő_011;;3323;Szarvaskő;;86,402389419791632;402,465000047385730
91341;Magyarország;Szarvaskő;;;belterület;127;HUN_Szarvaskő_127;művelés alól kivett;;Kisköz utca;;;2;;;;;;;;;;Szarvaskő_011;;3323;Szarvaskő;;82,885619668221153;397,754999923035540
91342;Magyarország;Szarvaskő;;;belterület;128;HUN_Szarvaskő_128;művelés alól kivett;;Fő utca;;;29;;;;;;;;;;Szarvaskő_011;;3323;Szarvaskő;;93,282949703274753;476,010000008493650
91343;Magyarország;Szarvaskő;;;belterület;129;HUN_Szarvaskő_129;művelés alól kivett;;Kisköz utca;;;4;;;;;;;;;;Szarvaskő_011;;3323;Szarvaskő;;177,549721547724890;1583,084704960854000
91344;Magyarország;Szarvaskő;;;belterület;13;HUN_Szarvaskő_13;művelés alól kivett;;Fő utca;;;;;;;;;;;;;Szarvaskő_007;;3323;Szarvaskő;;23,140698576836179;33,120000007674093
91345;Magyarország;Szarvaskő;;;belterület;130;HUN_Szarvaskő_130;művelés alól kivett;;Fő utca;;;31;;;;;;;;;;Szarvaskő_011;;3323;Szarvaskő;;192,306361121962620;1161,745000007301500
91346;Magyarország;Szarvaskő;;;belterület;131;HUN_Szarvaskő_131;művelés alól kivett;;Fő utca;;;33;;;;;;;;;;Szarvaskő_011;;3323;Szarvaskő;;195,997064639958350;1644,474999955296700
91347;Magyarország;Szarvaskő;;;belterület;132;HUN_Szarvaskő_132;művelés alól kivett;;Fő utca;;;35;;;;;;;;;;Szarvaskő_011;;3323;Szarvaskő;;140,496288033696290;954,905000080615200
91348;Magyarország;Szarvaskő;;;belterület;133;HUN_Szarvaskő_133;művelés alól kivett;;Fő utca;;;37;;;;;;;;;;Szarvaskő_011;;3323;Szarvaskő;;146,729825698900070;1254,889999983310400
91349;Magyarország;Szarvaskő;;;belterület;134;HUN_Szarvaskő_134;művelés alól kivett;;Fő utca;;;39;;;;;;;;;;Szarvaskő_011;;3323;Szarvaskő;;114,341220916178340;518,624999961443340
91350;Magyarország;Szarvaskő;;;belterület;135;HUN_Szarvaskő_135;művelés alól kivett;;Fő utca;;;41;;;;;;;;;;Szarvaskő_011;;3323;Szarvaskő;;136,904071196909460;965,054999964758620
91351;Magyarország;Szarvaskő;;;belterület;136;HUN_Szarvaskő_136;művelés alól kivett;;Fő utca;;;43;;;;;;;;;;Szarvaskő_011;;3323;Szarvaskő;;110,348440516340100;668,120000000037290
91352;Magyarország;Szarvaskő;;;belterület;137;HUN_Szarvaskő_137;művelés alól kivett;;Fő utca;;;45;;;;;;;;;;Szarvaskő_011;;3323;Szarvaskő;;90,231398412502642;403,040000052601100
91353;Magyarország;Szarvaskő;;;belterület;138;HUN_Szarvaskő_138;művelés alól kivett;;Fő utca;;;47;;;;;;;;;;Szarvaskő_011;;3323;Szarvaskő;;109,479193267608810;643,295000052377530
91354;Magyarország;Szarvaskő;;;belterület;139;HUN_Szarvaskő_139;művelés alól kivett;Fő utca;;25;;;;;;;;;;;;;;3323;Szarvaskő;;762,331038773164550;4936,974999882463600
91355;Magyarország;Szarvaskő;;;belterület;14;HUN_Szarvaskő_14;művelés alól kivett;;Fő utca;;;18;;;;;;;;;;Szarvaskő_007;;3323;Szarvaskő;;29,935509002192248;53,710000010542572
91356;Magyarország;Szarvaskő;;;belterület;140;HUN_Szarvaskő_140;művelés alól kivett;;Fő utca;;;54;;;;;;;;;;Szarvaskő_005;;3323;Szarvaskő;;200,042108135567470;1169,685000037364700
91357;Magyarország;Szarvaskő;;;belterület;141;HUN_Szarvaskő_141;művelés alól kivett;;Fő utca;;;52;;;;;;;;;;Szarvaskő_005;;3323;Szarvaskő;;94,786882642044489;425,670000015124690
91358;Magyarország;Szarvaskő;;;belterület;142;HUN_Szarvaskő_142;művelés alól kivett;;Fő utca;;;50;;;;;;;;;;Szarvaskő_005;;3323;Szarvaskő;;95,385661829390941;396,314999981261850
91359;Magyarország;Szarvaskő;;;belterület;143;HUN_Szarvaskő_143;művelés alól kivett;;Fő utca;;;48;;;;;;;;;;Szarvaskő_005;;3323;Szarvaskő;;117,596492898205330;745,824999985657540
91360;Magyarország;Szarvaskő;;;belterület;144;HUN_Szarvaskő_144;művelés alól kivett;;Fő utca;;;46;;;;;;;;;;Szarvaskő_005;;3323;Szarvaskő;;146,566248279800900;1349,534999953545400
91361;Magyarország;Szarvaskő;;;belterület;145;HUN_Szarvaskő_145;művelés alól kivett;;Fő utca;;;44;;;;;;;;;;Szarvaskő_005;;3323;Szarvaskő;;113,181420702159830;706,629999998286390
91362;Magyarország;Szarvaskő;;;belterület;146;HUN_Szarvaskő_146;művelés alól kivett;;Fő utca;;;;;;;;;;;;;Szarvaskő_005;;3323;Szarvaskő;;88,302787130117480;313,310000015571750
91363;Magyarország;Szarvaskő;;;belterület;147;HUN_Szarvaskő_147;művelés alól kivett;;Fő utca;;;;;;;;;;;;;Szarvaskő_006;;3323;Szarvaskő;;121,565922772465440;885,935000035502070
91364;Magyarország;Szarvaskő;;;belterület;148;HUN_Szarvaskő_148;művelés alól kivett;;Fő utca;;;42;;;;;;;;;;Szarvaskő_006;;3323;Szarvaskő;;78,598569545119418;372,790000028386710
91365;Magyarország;Szarvaskő;;;belterület;149;HUN_Szarvaskő_149;művelés alól kivett;;Fő utca;;;;;;;;;;;;;Szarvaskő_006;;3323;Szarvaskő;;81,097813270184858;375,570000012703250
