OBJECTID;Orszag_nev;Telepules_nev;Shape_Length;Shape_Area
1;Magyarország;Aldebrő;39222,288921445157000;21777372,457554217000000
2;Magyarország;Andornaktálya;17361,989374718723000;16745194,897316521000000
3;Magyarország;Bogács;24307,353640738147000;24693243,374409888000000
4;Magyarország;Bükkzsérc;38927,155124593592000;37247218,120591670000000
5;Magyarország;Cserépfalu;34576,289966088429000;44643461,501671642000000
6;Magyarország;Cserépváralja;20109,395789942460000;14613526,112813259000000
7;Magyarország;Demjén;24857,385281602485000;25085217,296403937000000
8;Magyarország;Eger;58740,914906862345000;92196807,773064643000000
9;Magyarország;Egerbakta;24607,757895612889000;32376211,745452728000000
10;Magyarország;Egerszalók;28043,909654259041000;23107658,120144930000000
11;Magyarország;Egerszólát;28787,371406668157000;26098153,901064102000000
12;Magyarország;Feldebrő;28198,108913128875000;26516717,172177974000000
13;Magyarország;Felsőtárkány;41025,761556624464000;77326681,716838911000000
14;Magyarország;Kál;31353,975304738859000;34808148,975631036000000
15;Magyarország;Kápolna;25494,480745611425000;21510446,014958493000000
16;Magyarország;Kerecsend;19719,852720333754000;24579783,291183732000000
17;Magyarország;Kompolt;29078,231868699779000;22727108,973393843000000
18;Magyarország;Maklár;24294,478042416969000;28008101,930970360000000
19;Magyarország;Nagytálya;17819,765160507774000;13185053,908699002000000
20;Magyarország;Noszvaj;22737,796116400586000;18842366,000522256000000
21;Magyarország;Novaj;20496,576697201828000;18519508,413771026000000
22;Magyarország;Ostoros;29191,736469488365000;23517531,536940344000000
23;Magyarország;Sirok;41137,359321894153000;63389572,327675544000000
24;Magyarország;Szarvaskő;16070,854664108749000;12589147,598337209000000
25;Magyarország;Szomolya;20889,952119310183000;22687395,174908236000000
26;Magyarország;Tarnaszentmária;18060,798308659738000;11004343,225551145000000
27;Magyarország;Tófalu;23296,360310259795000;14481160,731787855000000
28;Magyarország;Verpelét;47925,251041352851000;53182696,225519069000000
