OBJECTID;Orszag_nev;Telepules_nev;Telepulesresz_nev;Tortenelmi_varosresz_nev;Epuletenergetikai_tombazonosito;Tortenelmi_varosresz_nev_modositott;KSH_korzet;Shape_Length;Shape_Area
10;Magyarország;Aldebrő;;;Aldebrő_001;;Aldebrő;3574,398112393887900;110930,650783394810000
11;Magyarország;Aldebrő;;;Aldebrő_002;;Aldebrő;4012,281011727604400;231765,252991593560000
12;Magyarország;Aldebrő;;;Aldebrő_003;;Aldebrő;1612,433654371583500;73693,489107257876000
13;Magyarország;Aldebrő;;;Aldebrő_004;;Aldebrő;395,803173922342470;7464,904150035448800
14;Magyarország;Aldebrő;;;Aldebrő_005;;Aldebrő;334,320425209225730;7226,658449584918300
15;Magyarország;Aldebrő;;;Aldebrő_006;;Aldebrő;1106,191082198887900;61856,426283063171000
16;Magyarország;Aldebrő;;;Aldebrő_007;;Aldebrő;316,701115983520590;4540,244199964030500
17;Magyarország;Aldebrő;;;Aldebrő_008;;Aldebrő;571,786524832027910;19712,211050011549000
18;Magyarország;Aldebrő;;;Aldebrő_009;;Aldebrő;556,922423619745930;18094,534135046622000
19;Magyarország;Aldebrő;;;Aldebrő_010;;Aldebrő;2259,532352863388000;131094,558570121240000
20;Magyarország;Aldebrő;;;Aldebrő_011;;Aldebrő;451,205167231831520;12925,145449881591000
21;Magyarország;Aldebrő;;;Aldebrő_012;;Aldebrő;4461,227886244319100;142498,229995542320000
22;Magyarország;Aldebrő;;;Aldebrő_013;;Aldebrő;622,278986386627930;15352,686615722385000
23;Magyarország;Aldebrő;;;Aldebrő_014;;Aldebrő;273,715919155899310;3915,800834025417300
24;Magyarország;Aldebrő;;;Aldebrő_015;;Aldebrő;416,340201563643800;10889,854875488538000
25;Magyarország;Aldebrő;;;Aldebrő_016;;Aldebrő;410,231066625737530;10350,777510442864000
26;Magyarország;Aldebrő;;;Aldebrő_017;;Aldebrő;309,896631825656750;5878,491599913240900
27;Magyarország;Aldebrő;;;Aldebrő_018;;Aldebrő;313,664602703531950;6010,574912564103200
28;Magyarország;Aldebrő;;;Aldebrő_019;;Aldebrő;318,051937099369010;6240,708688506243600
29;Magyarország;Aldebrő;;;Aldebrő_020;;Aldebrő;760,930279856023620;29021,282091932782000
30;Magyarország;Aldebrő;;;Aldebrő_021;;Aldebrő;443,327225769337190;11900,778555020552000
31;Magyarország;Aldebrő;;;Aldebrő_022;;Aldebrő;277,533607628272880;2927,178834972701200
32;Magyarország;Aldebrő;;;Aldebrő_023;;Aldebrő;954,451004003930850;34601,076854582883000
35;Magyarország;Andornaktálya;;;Andornaktálya_012;;Andornaktálya;308,120239892443350;2932,815000058933500
36;Magyarország;Andornaktálya;;;Andornaktálya_041;;Andornaktálya;124,688423381293480;964,140000039748880
37;Magyarország;Andornaktálya;;;Andornaktálya_054;;Andornaktálya;212,612854200775560;2442,569999919198400
38;Magyarország;Andornaktálya;;;Andornaktálya_054;;Andornaktálya;132,167225441591740;1030,555287997440200
39;Magyarország;Andornaktálya;;;Andornaktálya_055;;Andornaktálya;193,321798740357590;2368,005000084340700
40;Magyarország;Andornaktálya;;;Andornaktálya_055;;Andornaktálya;441,325236240141180;5694,005000025295000
41;Magyarország;Andornaktálya;;;Andornaktálya_064;;Andornaktálya;232,722733464221360;1509,045000188909200
46;Magyarország;Andornaktálya;Andornak;;Andornaktálya_019;;Andornaktálya;709,686268643572700;15609,500019923509000
47;Magyarország;Andornaktálya;Andornak;;Andornaktálya_021;;Andornaktálya;222,001688133771410;3076,540680073389900
48;Magyarország;Andornaktálya;Andornak;;Andornaktálya_022;;Andornaktálya;424,275646089831580;9564,350000076556200
49;Magyarország;Andornaktálya;Andornak;;Andornaktálya_024;;Andornaktálya;989,518387364610820;21520,469954958913000
50;Magyarország;Andornaktálya;Andornak;;Andornaktálya_025;;Andornaktálya;731,978888843246980;17930,509968562932000
51;Magyarország;Andornaktálya;Andornak;;Andornaktálya_026;;Andornaktálya;741,949526402770060;20895,580475103594000
52;Magyarország;Andornaktálya;Andornak;;Andornaktálya_027;;Andornaktálya;815,095919605710040;34500,355921149880000
53;Magyarország;Andornaktálya;Andornak;;Andornaktálya_029;;Andornaktálya;363,959390617221000;7096,769999920316000
54;Magyarország;Andornaktálya;Andornak;;Andornaktálya_030;;Andornaktálya;450,228140755212910;12609,145038686596000
55;Magyarország;Andornaktálya;Andornak;;Andornaktálya_031;;Andornaktálya;504,517649184887150;15335,254125043592000
56;Magyarország;Andornaktálya;Andornak;;Andornaktálya_032;;Andornaktálya;411,983078787763080;9637,224131585790000
57;Magyarország;Andornaktálya;Andornak;;Andornaktálya_033;;Andornaktálya;366,791093878905090;7710,160093773229200
58;Magyarország;Andornaktálya;Andornak;;Andornaktálya_035;;Andornaktálya;383,542165696650220;8157,273254918970500
59;Magyarország;Andornaktálya;Andornak;;Andornaktálya_036;;Andornaktálya;438,332936687570680;10836,212160491992000
60;Magyarország;Andornaktálya;Andornak;;Andornaktálya_037;;Andornaktálya;820,641210241024740;22228,805004875685000
61;Magyarország;Andornaktálya;Andornak;;Andornaktálya_038;;Andornaktálya;802,721924192228930;31681,484440167082000
62;Magyarország;Andornaktálya;Andornak;;Andornaktálya_039;;Andornaktálya;505,793466693588130;12868,115000044965000
63;Magyarország;Andornaktálya;Andornak;;Andornaktálya_041;;Andornaktálya;145,872383116422330;1315,059999995268800
64;Magyarország;Andornaktálya;Andornak;;Andornaktálya_042;;Andornaktálya;184,459905027362770;1671,620214980204500
65;Magyarország;Andornaktálya;Andornak;;Andornaktálya_043;;Andornaktálya;742,892003694784530;30056,139883787317000
66;Magyarország;Andornaktálya;Andornak;;Andornaktálya_044;;Andornaktálya;592,260890700825830;14198,630005195682000
67;Magyarország;Andornaktálya;Andornak;;Andornaktálya_046;;Andornaktálya;1253,068591722039600;41457,074803642150000
68;Magyarország;Andornaktálya;Andornak;;Andornaktálya_047;;Andornaktálya;1194,720061077961200;42898,044877511828000
69;Magyarország;Andornaktálya;Andornak;;Andornaktálya_048;;Andornaktálya;1337,036010221117700;54971,815000088543000
70;Magyarország;Andornaktálya;Andornak;;Andornaktálya_049;;Andornaktálya;562,367942656381730;13232,115320158255000
71;Magyarország;Andornaktálya;Andornak;;Andornaktálya_050;;Andornaktálya;664,701067074731100;15852,400000051410000
72;Magyarország;Andornaktálya;Andornak;;Andornaktálya_051;;Andornaktálya;871,658505809416060;24718,585000080206000
73;Magyarország;Andornaktálya;Andornak;;Andornaktálya_053;;Andornaktálya;325,661942796920470;5064,494999961666500
74;Magyarország;Andornaktálya;Andornak;;Andornaktálya_054;;Andornaktálya;265,949223768047030;4137,890000023916400
75;Magyarország;Andornaktálya;Andornak;;Andornaktálya_054;;Andornaktálya;160,758596370628820;1437,134712089060900
76;Magyarország;Andornaktálya;Andornak;;Andornaktálya_054;;Andornaktálya;219,750637406336610;2273,134999903999400
77;Magyarország;Andornaktálya;Andornak;;Andornaktálya_055;;Andornaktálya;141,174835407940410;823,594999986626250
78;Magyarország;Andornaktálya;Andornak;;Andornaktálya_057;;Andornaktálya;238,319671756652380;2711,534999874569600
79;Magyarország;Andornaktálya;Andornak;;Andornaktálya_058;;Andornaktálya;506,298261231310960;13868,270910270654000
80;Magyarország;Andornaktálya;Andornak;;Andornaktálya_059;;Andornaktálya;406,403023008098270;7081,704999982081100
81;Magyarország;Andornaktálya;Andornak;;Andornaktálya_060;;Andornaktálya;261,821486643058450;4040,600000124983600
