OBJECTID,Orszag_nev,Telepules_nev,Telepulesresz_nev,Tortenelmi_varosresz_nev,Fekves,Epulettipus,Epulet_altipus,Funkcio,Intezmenynev,Hazszam,Epulet_betujel,Helyrajziszam_teljes_epulet,Helyrajziszam_egyedi_epulet,Utcanev_epulet,Muemlek_nev,Muemlek_tipus,Muemlek_torzsszam,Epuletenergetikai_tipus,Epuletenergetikai_szintszam,Epuletenergetikai_tombazonosito,Aga_est,Abm_est,Ath_est,Ael_est,Aelcs_est,Asz_est,Aol_est,Tn_Tbr,E0,Evil,Ee_cs,Evil_cs,Tbr,Ter,Muemleki_vedettseg,Tortenelmi_varosresz_nev_modositott,Iranyitoszam,KSH_korzet,Epulet_azonosito,Hazszam_epulettomb,Epulet_szamozas_egyeb,Postacim_epulet,Shape_Length,Shape_Area
63446,Magyarország,Szarvaskő,,,külterület,egyéb épület,,,,,,072,HUN_Szarvaskő_072,,,,,,,,,,,,,,,,,,,,,,,,3323,Szarvaskő,Szarvaskő_00003,,,,26.580104464679575,42.33808085735266
63447,Magyarország,Szarvaskő,,,belterület,épülettartozék,lépcső közterületen,,,,,69/1,HUN_Szarvaskő_69/1,II. Rákóczi Ferenc utca,,,,,,Szarvaskő_013,,,,,,,,,,,,,,,,,3323,Szarvaskő,Szarvaskő_00004,,,,52.72320274218913,124.38902430278674
63448,Magyarország,Szarvaskő,,,belterület,egyéb épület,,,,,,69/1,HUN_Szarvaskő_69/1,Petőfi Sándor utca,,,,,,,,,,,,,,,,,,,,,,,3323,Szarvaskő,Szarvaskő_00005,,,,18.73135817572987,19.516555370736874
63449,Magyarország,Szarvaskő,,,belterület,lakóépület,,,,,,174,HUN_Szarvaskő_174,Vasút utca,,,,,,,,,,,,,,,,,,,,,,,3323,Szarvaskő,Szarvaskő_00006,,,,41.109933402006774,76.20378656949603
63450,Magyarország,Szarvaskő,,,belterület,egyéb épület,,,,9/c,,171,HUN_Szarvaskő_171,Borsod utca,,,,,1,Szarvaskő_002,,,,,,,,,,,,,70.39000000994652,,nem,,3323,Szarvaskő,Szarvaskő_00007,,,"Szarvaskő, Borsod utca 9/c",51.469552383217184,70.39000000994652
63451,Magyarország,Szarvaskő,,,zártkert,épülettartozék,terasz,,,,,497,HUN_Szarvaskő_497,Nyírfa utca,,,,,,,,,,,,,,,,,,,,,nem,,3323,Szarvaskő,Szarvaskő_00008,,,,12.462720628314013,5.775040005607009
63452,Magyarország,Szarvaskő,,,zártkert,épülettartozék,terasz,,,,,425,HUN_Szarvaskő_425,Nyírfa utca,,,,,,,,,,,,,,,,,,,,,nem,,3323,Szarvaskő,Szarvaskő_00009,,,,15.005666601800016,12.809999997504054
63453,Magyarország,Szarvaskő,,,zártkert,épülettartozék,terasz,,,,,544,HUN_Szarvaskő_544,Csehi utca,,,,,,,,,,,,,,,,,,,,,nem,,3323,Szarvaskő,Szarvaskő_00010,,,,14.751344541168734,11.820000000968575
63454,Magyarország,Szarvaskő,,,zártkert,épülettartozék,terasz,,,,,505,HUN_Szarvaskő_505,Nyugodó utca,,,,,,,,,,,,,,,,,,,,,nem,,3323,Szarvaskő,Szarvaskő_00011,,,,30.966148459636806,46.9450000018999
63455,Magyarország,Szarvaskő,,,zártkert,épülettartozék,terasz,,,,,505,HUN_Szarvaskő_505,Nyugodó utca,,,,,,,,,,,,,,,,,,,,,nem,,3323,Szarvaskő,Szarvaskő_00012,,,,6.538688053342214,2.209999999366701
