OBJECTID,Orszag_nev,Telepules_nev,Telepulesresz_nev,Tortenelmi_varosresz_nev,Fekves,Helyrajziszam_teljes,Helyrajziszam_egyedi,Muvelesiag,Utcanev,Utcanev_telek,Kozut_szama,Vasut_szama,Hazszam_telek,Vedett_terulet_nev,Vedett_terulet_kategoria,Natura2000_SCI_kod,Natura2000_SCI_nev,Natura2000_SPA_kod,Natura2000_SPA_nev,Dulo_OEM_borvidek_nev,Dulo_OEM_kod,Dulo_OEM_nev,Epuletenergetikai_tombazonosito,Tortenelmi_varosresz_nev_modositott,Iranyitoszam,KSH_korzet,Postacim_rovid,Shape_Length,Shape_Area
91310,Magyarország,Szarvaskő,,,belterület,1,HUN_Szarvaskő_1,művelés alól kivett,,Fő utca,,,40,,,,,,,,,,Szarvaskő_007,,3323,Szarvaskő,,75.01094857185363,263.389999987036
91311,Magyarország,Szarvaskő,,,belterület,10/1,HUN_Szarvaskő_10/1,művelés alól kivett,,Fő utca,,,28,,,,,,,,,,Szarvaskő_007,,3323,Szarvaskő,,125.149716844753,483.7350000142679
91312,Magyarország,Szarvaskő,,,belterület,10/2,HUN_Szarvaskő_10/2,művelés alól kivett,,Fő utca,,,26,,,,,,,,,,Szarvaskő_007,,3323,Szarvaskő,,127.66175676346955,343.4249999757857
91313,Magyarország,Szarvaskő,,,belterület,100,HUN_Szarvaskő_100,művelés alól kivett,,Teréz utca,,,15,,,,,,,,,,Szarvaskő_015,,3323,Szarvaskő,,114.62155313684693,565.0550000189617
91314,Magyarország,Szarvaskő,,,belterület,101,HUN_Szarvaskő_101,művelés alól kivett,,Petőfi Sándor utca,,,20,,,,,,,,,,Szarvaskő_011,,3323,Szarvaskő,,257.0958653045015,3049.9400001550466
91315,Magyarország,Szarvaskő,,,belterület,102,HUN_Szarvaskő_102,művelés alól kivett,,Petőfi Sándor utca,,,,,,,,,,,,,,,3323,Szarvaskő,,20.359870627406938,24.62999999959022
91316,Magyarország,Szarvaskő,,,belterület,103,HUN_Szarvaskő_103,művelés alól kivett,,Petőfi Sándor utca,,,,,,,,,,,,,,,3323,Szarvaskő,,273.0450860163741,4129.769999991469
91317,Magyarország,Szarvaskő,,,belterület,104,HUN_Szarvaskő_104,művelés alól kivett,,Petőfi Sándor utca,,,16-18,,,,,,,,,,Szarvaskő_011,,3323,Szarvaskő,,274.34721216302626,2382.909999802117
91318,Magyarország,Szarvaskő,,,belterület,105,HUN_Szarvaskő_105,művelés alól kivett,,Petőfi Sándor utca,,,14,,,,,,,,,,Szarvaskő_011,,3323,Szarvaskő,,238.68198448623295,2190.1850000276786
91319,Magyarország,Szarvaskő,,,belterület,106,HUN_Szarvaskő_106,művelés alól kivett,,Petőfi Sándor utca,,,12,,,,,,,,,,Szarvaskő_011,,3323,Szarvaskő,,121.12901448677496,576.7450000466033
91320,Magyarország,Szarvaskő,,,belterület,109,HUN_Szarvaskő_109,művelés alól kivett,,Petőfi Sándor utca,,,10/a,,,,,,,,,,Szarvaskő_011,,3323,Szarvaskő,,136.08862910794994,607.9949999672547
91321,Magyarország,Szarvaskő,,,belterület,11,HUN_Szarvaskő_11,művelés alól kivett,,Fő utca,,,24,,,,,,,,,,Szarvaskő_007,,3323,Szarvaskő,,133.8430151444576,398.1650000043586
91322,Magyarország,Szarvaskő,,,belterület,110,HUN_Szarvaskő_110,művelés alól kivett,,Petőfi Sándor utca,,,10,,,,,,,,,,Szarvaskő_011,,3323,Szarvaskő,,152.5201732612484,859.5800000770762
91323,Magyarország,Szarvaskő,,,belterület,111,HUN_Szarvaskő_111,művelés alól kivett,,Petőfi Sándor utca,,,8,,,,,,,,,,Szarvaskő_011,,3323,Szarvaskő,,88.36260378765904,299.9650000160933
91324,Magyarország,Szarvaskő,,,belterület,112,HUN_Szarvaskő_112,művelés alól kivett,,Petőfi Sándor utca,,,6,,,,,,,,,,Szarvaskő_011,,3323,Szarvaskő,,133.03237616623807,788.1299999876693
91325,Magyarország,Szarvaskő,,,belterület,113,HUN_Szarvaskő_113,művelés alól kivett,,Petőfi Sándor utca,,,4,,,,,,,,,,Szarvaskő_011,,3323,Szarvaskő,,130.50884411069399,632.7100000209734
91326,Magyarország,Szarvaskő,,,belterület,114,HUN_Szarvaskő_114,művelés alól kivett,,Petőfi Sándor utca,,,2,,,,,,,,,,Szarvaskő_011,,3323,Szarvaskő,,97.80118813900741,636.0000000001862
91327,Magyarország,Szarvaskő,,,belterület,115,HUN_Szarvaskő_115,művelés alól kivett,,Fő utca,,,13,,,,,,,,,,Szarvaskő_011,,3323,Szarvaskő,,107.75704760012107,707.1399999667332
91328,Magyarország,Szarvaskő,,,belterület,116,HUN_Szarvaskő_116,művelés alól kivett,,Fő utca,,,15,,,,,,,,,,Szarvaskő_011,,3323,Szarvaskő,,122.85674189062334,584.800000028126
91329,Magyarország,Szarvaskő,,,belterület,117,HUN_Szarvaskő_117,művelés alól kivett,,Fő utca,,,17,,,,,,,,,,Szarvaskő_011,,3323,Szarvaskő,,123.739828960154,698.899999932386
91330,Magyarország,Szarvaskő,,,belterület,118,HUN_Szarvaskő_118,művelés alól kivett,,Fő utca,,,19,,,,,,,,,,Szarvaskő_011,,3323,Szarvaskő,,146.9440853870256,683.8549999507889
91331,Magyarország,Szarvaskő,,,belterület,119,HUN_Szarvaskő_119,művelés alól kivett,,Fő utca,,,21,,,,,,,,,,Szarvaskő_011,,3323,Szarvaskő,,154.81144755588136,772.1050000517445
91332,Magyarország,Szarvaskő,,,belterület,12/1,HUN_Szarvaskő_12/1,művelés alól kivett,,Fő utca,,,22,,,,,,,,,,Szarvaskő_007,,3323,Szarvaskő,,165.640900517239,822.739999951832
91333,Magyarország,Szarvaskő,,,belterület,12/2,HUN_Szarvaskő_12/2,művelés alól kivett,,Fő utca,,,20,,,,,,,,,,Szarvaskő_007,,3323,Szarvaskő,,206.74281819140998,1361.414999962449
91334,Magyarország,Szarvaskő,,,belterület,120,HUN_Szarvaskő_120,művelés alól kivett,,Fő utca,,,23,,,,,,,,,,Szarvaskő_011,,3323,Szarvaskő,,151.31852196080644,733.8949999672546
91335,Magyarország,Szarvaskő,,,belterület,121,HUN_Szarvaskő_121,művelés alól kivett,,Kisköz utca,,,1,,,,,,,,,,Szarvaskő_011,,3323,Szarvaskő,,141.39265570049508,619.3050000359118
91336,Magyarország,Szarvaskő,,,belterület,122,HUN_Szarvaskő_122,művelés alól kivett,,Kisköz utca,,,3,,,,,,,,,,Szarvaskő_011,,3323,Szarvaskő,,151.39600658082227,1253.5200000700727
91337,Magyarország,Szarvaskő,,,belterület,123,HUN_Szarvaskő_123,művelés alól kivett,,Kisköz utca,,,5,,,,,,,,,,Szarvaskő_011,,3323,Szarvaskő,,115.85528381715815,598.2452949687009
91338,Magyarország,Szarvaskő,,,belterület,124,HUN_Szarvaskő_124,művelés alól kivett,Kisköz utca,,,,,,,,,,,,,,,,3323,Szarvaskő,,134.02299834973977,288.1650000118092
91339,Magyarország,Szarvaskő,,,belterület,125,HUN_Szarvaskő_125,művelés alól kivett,,Fő utca,,,25,,,,,,,,,,Szarvaskő_011,,3323,Szarvaskő,,68.15101912777416,274.70500001672656
91340,Magyarország,Szarvaskő,,,belterület,126,HUN_Szarvaskő_126,művelés alól kivett,,Fő utca,,,27,,,,,,,,,,Szarvaskő_011,,3323,Szarvaskő,,86.40238941979163,402.46500004738573
91341,Magyarország,Szarvaskő,,,belterület,127,HUN_Szarvaskő_127,művelés alól kivett,,Kisköz utca,,,2,,,,,,,,,,Szarvaskő_011,,3323,Szarvaskő,,82.88561966822115,397.75499992303554
91342,Magyarország,Szarvaskő,,,belterület,128,HUN_Szarvaskő_128,művelés alól kivett,,Fő utca,,,29,,,,,,,,,,Szarvaskő_011,,3323,Szarvaskő,,93.28294970327475,476.01000000849365
91343,Magyarország,Szarvaskő,,,belterület,129,HUN_Szarvaskő_129,művelés alól kivett,,Kisköz utca,,,4,,,,,,,,,,Szarvaskő_011,,3323,Szarvaskő,,177.5497215477249,1583.084704960854
91344,Magyarország,Szarvaskő,,,belterület,13,HUN_Szarvaskő_13,művelés alól kivett,,Fő utca,,,,,,,,,,,,,Szarvaskő_007,,3323,Szarvaskő,,23.14069857683618,33.12000000767409
91345,Magyarország,Szarvaskő,,,belterület,130,HUN_Szarvaskő_130,művelés alól kivett,,Fő utca,,,31,,,,,,,,,,Szarvaskő_011,,3323,Szarvaskő,,192.30636112196262,1161.7450000073015
91346,Magyarország,Szarvaskő,,,belterület,131,HUN_Szarvaskő_131,művelés alól kivett,,Fő utca,,,33,,,,,,,,,,Szarvaskő_011,,3323,Szarvaskő,,195.99706463995835,1644.4749999552967
91347,Magyarország,Szarvaskő,,,belterület,132,HUN_Szarvaskő_132,művelés alól kivett,,Fő utca,,,35,,,,,,,,,,Szarvaskő_011,,3323,Szarvaskő,,140.4962880336963,954.9050000806152
91348,Magyarország,Szarvaskő,,,belterület,133,HUN_Szarvaskő_133,művelés alól kivett,,Fő utca,,,37,,,,,,,,,,Szarvaskő_011,,3323,Szarvaskő,,146.72982569890007,1254.8899999833104
91349,Magyarország,Szarvaskő,,,belterület,134,HUN_Szarvaskő_134,művelés alól kivett,,Fő utca,,,39,,,,,,,,,,Szarvaskő_011,,3323,Szarvaskő,,114.34122091617834,518.6249999614433
91350,Magyarország,Szarvaskő,,,belterület,135,HUN_Szarvaskő_135,művelés alól kivett,,Fő utca,,,41,,,,,,,,,,Szarvaskő_011,,3323,Szarvaskő,,136.90407119690946,965.0549999647586
91351,Magyarország,Szarvaskő,,,belterület,136,HUN_Szarvaskő_136,művelés alól kivett,,Fő utca,,,43,,,,,,,,,,Szarvaskő_011,,3323,Szarvaskő,,110.3484405163401,668.1200000000373
91352,Magyarország,Szarvaskő,,,belterület,137,HUN_Szarvaskő_137,művelés alól kivett,,Fő utca,,,45,,,,,,,,,,Szarvaskő_011,,3323,Szarvaskő,,90.23139841250264,403.0400000526011
91353,Magyarország,Szarvaskő,,,belterület,138,HUN_Szarvaskő_138,művelés alól kivett,,Fő utca,,,47,,,,,,,,,,Szarvaskő_011,,3323,Szarvaskő,,109.4791932676088,643.2950000523775
91354,Magyarország,Szarvaskő,,,belterület,139,HUN_Szarvaskő_139,művelés alól kivett,Fő utca,,25,,,,,,,,,,,,,,3323,Szarvaskő,,762.3310387731646,4936.974999882464
91355,Magyarország,Szarvaskő,,,belterület,14,HUN_Szarvaskő_14,művelés alól kivett,,Fő utca,,,18,,,,,,,,,,Szarvaskő_007,,3323,Szarvaskő,,29.935509002192248,53.71000001054257
