OBJECTID,Orszag_nev,Telepules_nev,Telepulesresz_nev,Tortenelmi_varosresz_nev,Epuletenergetikai_tombazonosito,Tortenelmi_varosresz_nev_modositott,KSH_korzet,Shape_Length,Shape_Area
10,Magyarország,Aldebrő,,,Aldebrő_001,,Aldebrő,3574.398112393888,110930.65078339481
11,Magyarország,Aldebrő,,,Aldebrő_002,,Aldebrő,4012.2810117276044,231765.25299159356
12,Magyarország,Aldebrő,,,Aldebrő_003,,Aldebrő,1612.4336543715835,73693.48910725788
13,Magyarország,Aldebrő,,,Aldebrő_004,,Aldebrő,395.80317392234247,7464.904150035449
14,Magyarország,Aldebrő,,,Aldebrő_005,,Aldebrő,334.32042520922573,7226.658449584918
15,Magyarország,Aldebrő,,,Aldebrő_006,,Aldebrő,1106.191082198888,61856.42628306317
16,Magyarország,Aldebrő,,,Aldebrő_007,,Aldebrő,316.7011159835206,4540.2441999640305
17,Magyarország,Aldebrő,,,Aldebrő_008,,Aldebrő,571.7865248320279,19712.21105001155
18,Magyarország,Aldebrő,,,Aldebrő_009,,Aldebrő,556.9224236197459,18094.534135046622
19,Magyarország,Aldebrő,,,Aldebrő_010,,Aldebrő,2259.532352863388,131094.55857012124
20,Magyarország,Aldebrő,,,Aldebrő_011,,Aldebrő,451.2051672318315,12925.145449881591
21,Magyarország,Aldebrő,,,Aldebrő_012,,Aldebrő,4461.227886244319,142498.22999554232
22,Magyarország,Aldebrő,,,Aldebrő_013,,Aldebrő,622.2789863866279,15352.686615722385
23,Magyarország,Aldebrő,,,Aldebrő_014,,Aldebrő,273.7159191558993,3915.8008340254173
24,Magyarország,Aldebrő,,,Aldebrő_015,,Aldebrő,416.3402015636438,10889.854875488538
25,Magyarország,Aldebrő,,,Aldebrő_016,,Aldebrő,410.2310666257375,10350.777510442864
26,Magyarország,Aldebrő,,,Aldebrő_017,,Aldebrő,309.89663182565675,5878.491599913241
27,Magyarország,Aldebrő,,,Aldebrő_018,,Aldebrő,313.66460270353195,6010.574912564103
28,Magyarország,Aldebrő,,,Aldebrő_019,,Aldebrő,318.051937099369,6240.708688506244
29,Magyarország,Aldebrő,,,Aldebrő_020,,Aldebrő,760.9302798560236,29021.282091932782
30,Magyarország,Aldebrő,,,Aldebrő_021,,Aldebrő,443.3272257693372,11900.778555020552
31,Magyarország,Aldebrő,,,Aldebrő_022,,Aldebrő,277.5336076282729,2927.178834972701
32,Magyarország,Aldebrő,,,Aldebrő_023,,Aldebrő,954.4510040039308,34601.07685458288
35,Magyarország,Andornaktálya,,,Andornaktálya_012,,Andornaktálya,308.12023989244335,2932.8150000589335
36,Magyarország,Andornaktálya,,,Andornaktálya_041,,Andornaktálya,124.68842338129348,964.1400000397489
37,Magyarország,Andornaktálya,,,Andornaktálya_054,,Andornaktálya,212.61285420077556,2442.5699999191984
38,Magyarország,Andornaktálya,,,Andornaktálya_054,,Andornaktálya,132.16722544159174,1030.5552879974402
39,Magyarország,Andornaktálya,,,Andornaktálya_055,,Andornaktálya,193.3217987403576,2368.0050000843407
40,Magyarország,Andornaktálya,,,Andornaktálya_055,,Andornaktálya,441.3252362401412,5694.005000025295
41,Magyarország,Andornaktálya,,,Andornaktálya_064,,Andornaktálya,232.72273346422136,1509.0450001889092
46,Magyarország,Andornaktálya,Andornak,,Andornaktálya_019,,Andornaktálya,709.6862686435727,15609.50001992351
47,Magyarország,Andornaktálya,Andornak,,Andornaktálya_021,,Andornaktálya,222.0016881337714,3076.54068007339
48,Magyarország,Andornaktálya,Andornak,,Andornaktálya_022,,Andornaktálya,424.2756460898316,9564.350000076556
49,Magyarország,Andornaktálya,Andornak,,Andornaktálya_024,,Andornaktálya,989.5183873646108,21520.469954958913
50,Magyarország,Andornaktálya,Andornak,,Andornaktálya_025,,Andornaktálya,731.978888843247,17930.509968562932
51,Magyarország,Andornaktálya,Andornak,,Andornaktálya_026,,Andornaktálya,741.9495264027701,20895.580475103594
52,Magyarország,Andornaktálya,Andornak,,Andornaktálya_027,,Andornaktálya,815.09591960571,34500.35592114988
53,Magyarország,Andornaktálya,Andornak,,Andornaktálya_029,,Andornaktálya,363.959390617221,7096.769999920316
54,Magyarország,Andornaktálya,Andornak,,Andornaktálya_030,,Andornaktálya,450.2281407552129,12609.145038686596
55,Magyarország,Andornaktálya,Andornak,,Andornaktálya_031,,Andornaktálya,504.51764918488715,15335.254125043592
56,Magyarország,Andornaktálya,Andornak,,Andornaktálya_032,,Andornaktálya,411.9830787877631,9637.22413158579
57,Magyarország,Andornaktálya,Andornak,,Andornaktálya_033,,Andornaktálya,366.7910938789051,7710.160093773229
58,Magyarország,Andornaktálya,Andornak,,Andornaktálya_035,,Andornaktálya,383.5421656966502,8157.27325491897
59,Magyarország,Andornaktálya,Andornak,,Andornaktálya_036,,Andornaktálya,438.3329366875707,10836.212160491992
60,Magyarország,Andornaktálya,Andornak,,Andornaktálya_037,,Andornaktálya,820.6412102410247,22228.805004875685
61,Magyarország,Andornaktálya,Andornak,,Andornaktálya_038,,Andornaktálya,802.7219241922289,31681.48444016708
62,Magyarország,Andornaktálya,Andornak,,Andornaktálya_039,,Andornaktálya,505.79346669358813,12868.115000044965
63,Magyarország,Andornaktálya,Andornak,,Andornaktálya_041,,Andornaktálya,145.87238311642233,1315.0599999952688
64,Magyarország,Andornaktálya,Andornak,,Andornaktálya_042,,Andornaktálya,184.45990502736277,1671.6202149802045
65,Magyarország,Andornaktálya,Andornak,,Andornaktálya_043,,Andornaktálya,742.8920036947845,30056.139883787317
66,Magyarország,Andornaktálya,Andornak,,Andornaktálya_044,,Andornaktálya,592.2608907008258,14198.630005195682
67,Magyarország,Andornaktálya,Andornak,,Andornaktálya_046,,Andornaktálya,1253.0685917220396,41457.07480364215
68,Magyarország,Andornaktálya,Andornak,,Andornaktálya_047,,Andornaktálya,1194.7200610779612,42898.04487751183
69,Magyarország,Andornaktálya,Andornak,,Andornaktálya_048,,Andornaktálya,1337.0360102211177,54971.81500008854
70,Magyarország,Andornaktálya,Andornak,,Andornaktálya_049,,Andornaktálya,562.3679426563817,13232.115320158255
71,Magyarország,Andornaktálya,Andornak,,Andornaktálya_050,,Andornaktálya,664.7010670747311,15852.40000005141
72,Magyarország,Andornaktálya,Andornak,,Andornaktálya_051,,Andornaktálya,871.658505809416,24718.585000080206
73,Magyarország,Andornaktálya,Andornak,,Andornaktálya_053,,Andornaktálya,325.66194279692047,5064.4949999616665
74,Magyarország,Andornaktálya,Andornak,,Andornaktálya_054,,Andornaktálya,265.94922376804703,4137.890000023916
75,Magyarország,Andornaktálya,Andornak,,Andornaktálya_054,,Andornaktálya,160.75859637062882,1437.134712089061
76,Magyarország,Andornaktálya,Andornak,,Andornaktálya_054,,Andornaktálya,219.7506374063366,2273.1349999039994
77,Magyarország,Andornaktálya,Andornak,,Andornaktálya_055,,Andornaktálya,141.1748354079404,823.5949999866262
78,Magyarország,Andornaktálya,Andornak,,Andornaktálya_057,,Andornaktálya,238.31967175665238,2711.5349998745696
79,Magyarország,Andornaktálya,Andornak,,Andornaktálya_058,,Andornaktálya,506.29826123131096,13868.270910270654
80,Magyarország,Andornaktálya,Andornak,,Andornaktálya_059,,Andornaktálya,406.4030230080983,7081.704999982081
