Helyrajziszam,Telepules,Tombazonosito,Qt_vil_cs,Qt_vil_real_cs,Qt_el_real_cs,Qt_el_cs_real_cs,Qt_ga_real_cs,Qt_ol_real_cs,Qt_sz_real_cs,Qt_bm_real_cs,Qt_th_real_cs,Dt,Qt_el_real,Qt_el_cs_real,Qt_ga_real,Qt_ol_real,Qt_sz_real,Qt_bm_real,Qt_th_real,Qt_vil,Qt_vil_real,deltaQt,TFCO2_t,TFCO2_t_cs,Dt_cs,Tt_t,Tt_e,adat_t,Et_vil_e_cs,Et_vil_t_cs,Et_vil_real_e_cs,Et_vil_real_t_cs,Et_vil_e,Et_vil_t,Et_vil_real_e,Et_vil_real_t,deltaEt_e,deltaEt_t,deltaTFCO2_t,pott
HUN_Szarvaskő_1,Szarvaskő,Szarvaskő_007,,,,,,,,,,,,,,,,,,,,,,,,263.39,,,,,,,,,,,,,,
HUN_Szarvaskő_10/1,Szarvaskő,Szarvaskő_007,,,,,,,,,,,,,,,,,,,,,,,,483.735,,,,,,,,,,,,,,
HUN_Szarvaskő_10/2,Szarvaskő,Szarvaskő_007,,,,,,,,,,,,,,,,,,,,,,,,343.425,,,,,,,,,,,,,,
HUN_Szarvaskő_100,Szarvaskő,Szarvaskő_015,,,,,,,,,,,,,,,,,,,,,,,,565.055,,,,,,,,,,,,,,
HUN_Szarvaskő_101,Szarvaskő,Szarvaskő_011,,,,,,,,,,,,,,,,,,,,,,,,3049.94,,,,,,,,,,,,,,
HUN_Szarvaskő_102,Szarvaskő,,,,,,,,,,,,,,,,,,,,,,,,,24.63,,,,,,,,,,,,,,
HUN_Szarvaskő_103,Szarvaskő,,,,,,,,,,,,,,,,,,,,,,,,,4129.77,,,,,,,,,,,,,,
HUN_Szarvaskő_104,Szarvaskő,Szarvaskő_011,,,,,,,,,,,,,,,,,,,,,,,,2382.91,,,,,,,,,,,,,,
HUN_Szarvaskő_105,Szarvaskő,Szarvaskő_011,,,,,,,,,,,,,,,,,,,,,,,,2190.185,,,,,,,,,,,,,,
HUN_Szarvaskő_106,Szarvaskő,Szarvaskő_011,,,,,,,,,,,,,,,,,,,,,,,,576.745,,,,,,,,,,,,,,
HUN_Szarvaskő_109,Szarvaskő,Szarvaskő_011,,,,,,,,,,,,,,,,,,,,,,,,607.995,,,,,,,,,,,,,,
HUN_Szarvaskő_11,Szarvaskő,Szarvaskő_007,,,,,,,,,,,,,,,,,,,,,,,,398.165,,,,,,,,,,,,,,
HUN_Szarvaskő_110,Szarvaskő,Szarvaskő_011,,,,,,,,,,,,,,,,,,,,,,,,859.5800001,,,,,,,,,,,,,,
HUN_Szarvaskő_111,Szarvaskő,Szarvaskő_011,,,,,,,,,,,,,,,,,,,,,,,,299.965,,,,,,,,,,,,,,
HUN_Szarvaskő_112,Szarvaskő,Szarvaskő_011,,,,,,,,,,,,,,,,,,,,,,,,788.13,,,,,,,,,,,,,,
HUN_Szarvaskő_113,Szarvaskő,Szarvaskő_011,,,,,,,,,,,,,,,,,,,,,,,,632.71,,,,,,,,,,,,,,
HUN_Szarvaskő_114,Szarvaskő,Szarvaskő_011,,,,,,,,,,,,,,,,,,,,,,,,636,,,,,,,,,,,,,,
HUN_Szarvaskő_115,Szarvaskő,Szarvaskő_011,,,,,,,,,,,,,,,,,,,,,,,,707.14,,,,,,,,,,,,,,
HUN_Szarvaskő_116,Szarvaskő,Szarvaskő_011,,,,,,,,,,,,,,,,,,,,,,,,584.8,,,,,,,,,,,,,,
HUN_Szarvaskő_117,Szarvaskő,Szarvaskő_011,,,,,,,,,,,,,,,,,,,,,,,,698.8999999,,,,,,,,,,,,,,
HUN_Szarvaskő_118,Szarvaskő,Szarvaskő_011,,,,,,,,,,,,,,,,,,,,,,,,683.855,,,,,,,,,,,,,,
HUN_Szarvaskő_119,Szarvaskő,Szarvaskő_011,,,,,,,,,,,,,,,,,,,,,,,,772.1050001,,,,,,,,,,,,,,
HUN_Szarvaskő_12/1,Szarvaskő,Szarvaskő_007,,,,,,,,,,,,,,,,,,,,,,,,822.74,,,,,,,,,,,,,,
HUN_Szarvaskő_12/2,Szarvaskő,Szarvaskő_007,,,,,,,,,,,,,,,,,,,,,,,,1361.415,,,,,,,,,,,,,,
HUN_Szarvaskő_120,Szarvaskő,Szarvaskő_011,,,,,,,,,,,,,,,,,,,,,,,,733.895,,,,,,,,,,,,,,
HUN_Szarvaskő_121,Szarvaskő,Szarvaskő_011,,,,,,,,,,,,,,,,,,,,,,,,619.305,,,,,,,,,,,,,,
HUN_Szarvaskő_122,Szarvaskő,Szarvaskő_011,,,,,,,,,,,,,,,,,,,,,,,,1253.52,,,,,,,,,,,,,,
HUN_Szarvaskő_123,Szarvaskő,Szarvaskő_011,,,,,,,,,,,,,,,,,,,,,,,,598.245295,,,,,,,,,,,,,,
HUN_Szarvaskő_124,Szarvaskő,,,,,,,,,,,,,,,,,,,,,,,,,288.165,,,,,,,,,,,,,,
HUN_Szarvaskő_125,Szarvaskő,Szarvaskő_011,,,,,,,,,,,,,,,,,,,,,,,,274.705,,,,,,,,,,,,,,
HUN_Szarvaskő_126,Szarvaskő,Szarvaskő_011,,,,,,,,,,,,,,,,,,,,,,,,402.465,,,,,,,,,,,,,,
HUN_Szarvaskő_127,Szarvaskő,Szarvaskő_011,,,,,,,,,,,,,,,,,,,,,,,,397.7549999,,,,,,,,,,,,,,
HUN_Szarvaskő_128,Szarvaskő,Szarvaskő_011,,,,,,,,,,,,,,,,,,,,,,,,476.01,,,,,,,,,,,,,,
HUN_Szarvaskő_129,Szarvaskő,Szarvaskő_011,,,,,,,,,,,,,,,,,,,,,,,,1583.084705,,,,,,,,,,,,,,
HUN_Szarvaskő_13,Szarvaskő,Szarvaskő_007,,,,,,,,,,,,,,,,,,,,,,,,33.12000001,,,,,,,,,,,,,,
HUN_Szarvaskő_130,Szarvaskő,Szarvaskő_011,,,,,,,,,,,,,,,,,,,,,,,,1161.745,,,,,,,,,,,,,,
HUN_Szarvaskő_131,Szarvaskő,Szarvaskő_011,,,,,,,,,,,,,,,,,,,,,,,,1644.475,,,,,,,,,,,,,,
HUN_Szarvaskő_132,Szarvaskő,Szarvaskő_011,,,,,,,,,,,,,,,,,,,,,,,,954.9050001,,,,,,,,,,,,,,
HUN_Szarvaskő_133,Szarvaskő,Szarvaskő_011,,,,,,,,,,,,,,,,,,,,,,,,1254.89,,,,,,,,,,,,,,
HUN_Szarvaskő_134,Szarvaskő,Szarvaskő_011,,,,,,,,,,,,,,,,,,,,,,,,518.625,,,,,,,,,,,,,,
HUN_Szarvaskő_135,Szarvaskő,Szarvaskő_011,,,,,,,,,,,,,,,,,,,,,,,,965.055,,,,,,,,,,,,,,
HUN_Szarvaskő_136,Szarvaskő,Szarvaskő_011,,,,,,,,,,,,,,,,,,,,,,,,668.12,,,,,,,,,,,,,,
HUN_Szarvaskő_137,Szarvaskő,Szarvaskő_011,,,,,,,,,,,,,,,,,,,,,,,,403.0400001,,,,,,,,,,,,,,
HUN_Szarvaskő_138,Szarvaskő,Szarvaskő_011,,,,,,,,,,,,,,,,,,,,,,,,643.2950001,,,,,,,,,,,,,,
HUN_Szarvaskő_139,Szarvaskő,,,,,,,,,,,,,,,,,,,,,,,,,4936.975,,,,,,,,,,,,,,
HUN_Szarvaskő_14,Szarvaskő,Szarvaskő_007,,,,,,,,,,,,,,,,,,,,,,,,53.71000001,,,,,,,,,,,,,,
HUN_Szarvaskő_140,Szarvaskő,Szarvaskő_005,,,,,,,,,,,,,,,,,,,,,,,,1169.685,,,,,,,,,,,,,,
HUN_Szarvaskő_141,Szarvaskő,Szarvaskő_005,,,,,,,,,,,,,,,,,,,,,,,,425.67,,,,,,,,,,,,,,
HUN_Szarvaskő_142,Szarvaskő,Szarvaskő_005,,,,,,,,,,,,,,,,,,,,,,,,396.315,,,,,,,,,,,,,,
HUN_Szarvaskő_143,Szarvaskő,Szarvaskő_005,,,,,,,,,,,,,,,,,,,,,,,,745.825,,,,,,,,,,,,,,
HUN_Szarvaskő_144,Szarvaskő,Szarvaskő_005,,,,,,,,,,,,,,,,,,,,,,,,1349.535,,,,,,,,,,,,,,
HUN_Szarvaskő_145,Szarvaskő,Szarvaskő_005,,,,,,,,,,,,,,,,,,,,,,,,706.63,,,,,,,,,,,,,,
HUN_Szarvaskő_146,Szarvaskő,Szarvaskő_005,,,,,,,,,,,,,,,,,,,,,,,,313.31,,,,,,,,,,,,,,
HUN_Szarvaskő_147,Szarvaskő,Szarvaskő_006,,,,,,,,,,,,,,,,,,,,,,,,885.935,,,,,,,,,,,,,,
HUN_Szarvaskő_148,Szarvaskő,Szarvaskő_006,,,,,,,,,,,,,,,,,,,,,,,,372.79,,,,,,,,,,,,,,
HUN_Szarvaskő_149,Szarvaskő,Szarvaskő_006,,,,,,,,,,,,,,,,,,,,,,,,375.57,,,,,,,,,,,,,,
HUN_Szarvaskő_15,Szarvaskő,Szarvaskő_007,,,,,,,,,,,,,,,,,,,,,,,,346.475,,,,,,,,,,,,,,
HUN_Szarvaskő_150,Szarvaskő,,,,,,,,,,,,,,,,,,,,,,,,,3544.861106,,,,,,,,,,,,,,
HUN_Szarvaskő_151,Szarvaskő,Szarvaskő_003,,,,,,,,,,,,,,,,,,,,,,,,927.5649705,,,,,,,,,,,,,,
HUN_Szarvaskő_152/1,Szarvaskő,Szarvaskő_003,,,,,,,,,,,,,,,,,,,,,,,,667.3199999,,,,,,,,,,,,,,
HUN_Szarvaskő_152/2,Szarvaskő,Szarvaskő_003,,,,,,,,,,,,,,,,,,,,,,,,34.41000001,,,,,,,,,,,,,,
HUN_Szarvaskő_153,Szarvaskő,Szarvaskő_003,,,,,,,,,,,,,,,,,,,,,,,,816.24,,,,,,,,,,,,,,
HUN_Szarvaskő_154,Szarvaskő,Szarvaskő_003,,,,,,,,,,,,,,,,,,,,,,,,841.3,,,,,,,,,,,,,,
HUN_Szarvaskő_158,Szarvaskő,Szarvaskő_003,,,,,,,,,,,,,,,,,,,,,,,,515.525,,,,,,,,,,,,,,
HUN_Szarvaskő_159,Szarvaskő,Szarvaskő_003,,,,,,,,,,,,,,,,,,,,,,,,540.1049999,,,,,,,,,,,,,,
HUN_Szarvaskő_16,Szarvaskő,Szarvaskő_007,,,,,,,,,,,,,,,,,,,,,,,,502.1450399,,,,,,,,,,,,,,
HUN_Szarvaskő_160,Szarvaskő,Szarvaskő_003,,,,,,,,,,,,,,,,,,,,,,,,599.64,,,,,,,,,,,,,,
HUN_Szarvaskő_161,Szarvaskő,Szarvaskő_003,,,,,,,,,,,,,,,,,,,,,,,,431.29,,,,,,,,,,,,,,
HUN_Szarvaskő_162,Szarvaskő,Szarvaskő_003,,,,,,,,,,,,,,,,,,,,,,,,458.31,,,,,,,,,,,,,,
HUN_Szarvaskő_163,Szarvaskő,Szarvaskő_003,,,,,,,,,,,,,,,,,,,,,,,,662.8699854,,,,,,,,,,,,,,
HUN_Szarvaskő_164,Szarvaskő,Szarvaskő_003,,,,,,,,,,,,,,,,,,,,,,,,333.08,,,,,,,,,,,,,,
HUN_Szarvaskő_165,Szarvaskő,Szarvaskő_003,,,,,,,,,,,,,,,,,,,,,,,,521.76,,,,,,,,,,,,,,
HUN_Szarvaskő_166,Szarvaskő,,,,,,,,,,,,,,,,,,,,,,,,,1744.035015,,,,,,,,,,,,,,
HUN_Szarvaskő_167,Szarvaskő,Szarvaskő_002,,,,,,,,,,,,,,,,,,,,,,,,711.25,,,,,,,,,,,,,,
HUN_Szarvaskő_168,Szarvaskő,Szarvaskő_002,,,,,,,,,,,,,,,,,,,,,,,,658.3499999,,,,,,,,,,,,,,
HUN_Szarvaskő_169,Szarvaskő,Szarvaskő_002,,,,,,,,,,,,,,,,,,,,,,,,636.235,,,,,,,,,,,,,,
HUN_Szarvaskő_17,Szarvaskő,Szarvaskő_007,,,,,,,,,,,,,,,,,,,,,,,,1080.41996,,,,,,,,,,,,,,
HUN_Szarvaskő_170,Szarvaskő,Szarvaskő_002,,,,,,,,,,,,,,,,,,,,,,,,600.6700001,,,,,,,,,,,,,,
HUN_Szarvaskő_171,Szarvaskő,Szarvaskő_002,,,,,,,,,,,,,,,,,,,,,,,,2931.02,,,,,,,,,,,,,,
HUN_Szarvaskő_172,Szarvaskő,Szarvaskő_004,,,,,,,,,,,,,,,,,,,,,,,,1483.075,,,,,,,,,,,,,,
HUN_Szarvaskő_173/2,Szarvaskő,,,,,,,,,,,,,,,,,,,,,,,,,3146.07,,,,,,,,,,,,,,
HUN_Szarvaskő_173/3,Szarvaskő,Szarvaskő_003,,,,,,,,,,,,,,,,,,,,,,,,4902.585,,,,,,,,,,,,,,
HUN_Szarvaskő_173/4,Szarvaskő,Szarvaskő_003,,,,,,,,,,,,,,,,,,,,,,,,644.315,,,,,,,,,,,,,,
HUN_Szarvaskő_173/5,Szarvaskő,,,,,,,,,,,,,,,,,,,,,,,,,9410.464813,,,,,,,,,,,,,,
