Helyrajziszam,Telepules,Tombazonosito,Qt_vil_cs,Qt_vil_real_cs,Qt_el_real_cs,Qt_el_cs_real_cs,Qt_ga_real_cs,Qt_ol_real_cs,Qt_sz_real_cs,Qt_bm_real_cs,Qt_th_real_cs,Dt,Qt_el_real,Qt_el_cs_real,Qt_ga_real,Qt_ol_real,Qt_sz_real,Qt_bm_real,Qt_th_real,Qt_vil,Qt_vil_real,deltaQt,TFCO2_t,TFCO2_t_cs,Dt_cs,Tt_t,Tt_e,adat_t,Et_vil_e_cs,Et_vil_t_cs,Et_vil_real_e_cs,Et_vil_real_t_cs,Et_vil_e,Et_vil_t,Et_vil_real_e,Et_vil_real_t,deltaEt_e,deltaEt_t,deltaTFCO2_t,pott
HUN_Szarvaskő_1,Szarvaskő,Szarvaskő_007,6377.4,6377.4,0.0,0.0,6377.4,0.0,0.0,0.0,0.0,0.0,212.57999999999998,236.2,11957.625,0.0,0.0,19929.375,0.0,23915.25,23915.25,17537.85,0.0,0.0,0.0,263.39,53.144999999999996,1,120.0,24.212764341850487,120.0,24.212764341850487,450.00000000000006,90.79786628193933,450.00000000000006,90.79786628193933,330.0,66.58510194008883,0.0,0.7333333333333334
HUN_Szarvaskő_10/1,Szarvaskő,Szarvaskő_007,4479.3000009,4479.3000009,0.0,0.0,4479.3000009,0.0,0.0,0.0,0.0,0.0,149.31000003,165.90000003333333,8398.6875016875,0.0,0.0,13997.812502812501,0.0,16797.375003375,16797.375003375,12318.075002475,0.0,0.0,0.0,483.735,37.3275000075,1,120.0,9.259822011845328,120.0,9.259822011845328,450.0,34.72433254441998,450.0,34.72433254441998,330.0,25.464510532574653,0.0,0.7333333333333334
HUN_Szarvaskő_10/2,Szarvaskő,Szarvaskő_007,7112.250002700001,7112.250002700001,0.0,0.0,7112.250002700001,0.0,0.0,0.0,0.0,0.0,237.07500009,263.41666676666665,13335.4687550625,0.0,0.0,22225.781258437502,0.0,26670.937510125,26670.937510125,19558.687507425002,0.0,0.0,0.0,343.425,59.2687500225,1,120.00000000000001,20.709761964621098,120.00000000000001,20.709761964621098,450.0,77.66160736732911,450.0,77.66160736732911,330.00000000000006,56.95184540270802,0.0,0.7333333333333334
HUN_Szarvaskő_100,Szarvaskő,Szarvaskő_015,6481.8,6481.8,0.0,0.0,6481.8,0.0,0.0,0.0,0.0,0.0,216.06,240.06666666666666,12153.375,0.0,0.0,20255.625,0.0,24306.75,24306.75,17824.95,0.0,0.0,0.0,565.055,54.015,1,120.0,11.47109573404359,120.0,11.47109573404359,450.0,43.016609002663465,450.0,43.016609002663465,330.0,31.545513268619874,0.0,0.7333333333333334
HUN_Szarvaskő_101,Szarvaskő,Szarvaskő_011,17611.6500009,17611.6500009,0.0,0.0,17611.6500009,0.0,0.0,0.0,0.0,0.0,587.05500003,652.2833333666666,33021.8437516875,0.0,0.0,55036.4062528125,0.0,66043.687503375,66043.687503375,48432.037502474996,0.0,0.0,0.0,3049.94,146.7637500075,1,120.00000000000001,5.774425070952216,120.00000000000001,5.774425070952216,450.0,21.654094016070808,450.0,21.654094016070808,330.0,15.87966894511859,0.0,0.7333333333333334
HUN_Szarvaskő_102,Szarvaskő,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.63,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HUN_Szarvaskő_103,Szarvaskő,,0.0,0,,,,,,,,,,,,,,,,0.0,0,0,0.0,0.0,,4129.77,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HUN_Szarvaskő_104,Szarvaskő,Szarvaskő_011,21053.7674262,21053.7674262,0.0,0.0,21053.7674262,0.0,0.0,0.0,0.0,0.0,701.7922475400001,779.7691639333333,35089.612377,0.0,0.0,58482.687295,0.0,70179.224754,70179.224754,49125.4573278,0.0,0.0,0.0,2382.91,175.448061885,1,120.00000000000001,8.835317920609675,120.00000000000001,8.835317920609675,400.0,29.451059735365583,400.0,29.451059735365583,280.00000000000006,20.61574181475591,0.0,0.7
HUN_Szarvaskő_105,Szarvaskő,Szarvaskő_011,14893.65,14893.65,0.0,0.0,14893.65,0.0,0.0,0.0,0.0,0.0,496.455,551.6166666666667,27925.59375,0.0,0.0,46542.65625,0.0,55851.1875,55851.1875,40957.5375,0.0,0.0,0.0,2190.185,124.11375,1,120.0,6.800178980314448,120.0,6.800178980314448,450.0,25.500671176179182,450.0,25.500671176179182,330.0,18.700492195864733,0.0,0.7333333333333334
HUN_Szarvaskő_106,Szarvaskő,Szarvaskő_011,10178.46,10178.46,0.0,0.0,10178.46,0.0,0.0,0.0,0.0,0.0,339.282,376.97999999999996,19084.6125,0.0,0.0,31807.6875,0.0,38169.225,38169.225,27990.765,0.0,0.0,0.0,576.745,84.8205,1,120.0,17.648111383713772,120.0,17.648111383713772,450.0,66.18041768892664,450.0,66.18041768892664,330.0,48.53230630521288,0.0,0.7333333333333333
