id,Telepules,QK_vil_cs,QK_vil_real_cs,QK_el_real_cs,QK_el_cs_real_cs,QK_ga_real_cs,QK_ol_real_cs,QK_sz_real_cs,QK_bm_real_cs,QK_th_real_cs,QK_el_real,QK_el_cs_real,QK_ga_real,QK_ol_real,QK_sz_real,QK_bm_real,QK_th_real,QK_vil,QK_vil_real,deltaQK,TFCO2_K,TFCO2_K_cs,TK_t,TK_e,EK_vil_e_cs,EK_vil_t_cs,EK_vil_real_e_cs,EK_vil_real_t_cs,EK_vil_e,EK_vil_t,EK_vil_real_e,EK_vil_real_t,deltaEK_e,deltaEK_t,deltaTFCO2_K,potK,deltaQK_el_real,deltaQK_el_cs_real,deltaQK_ga_real,deltaQK_ol_real,deltaQK_sz_real,deltaQK_bm_real,deltaQK_th_real
0,Andornaktálya,53407291.379020095,53407291.379020095,372319.6708674072,0.0,13347919.538634906,0.0,0.0,0.0,0.0,465129.1427956093,517110.65398251,0.0,0.0,0.0,0.0,0.0,150847918.6385752,150847918.6385752,97536637.29879391,0.0,0.0,0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,,92809.47192820208,517110.65398251,-13347919.538634906,0.0,0.0,0.0,0.0
1,Bogács,56810913.51944882,56810913.51944882,432445.9585793331,0.0,14194285.652357921,0.0,0.0,0.0,0.0,539467.7561316459,600619.3869157402,0.0,0.0,0.0,0.0,0.0,170069153.19854736,170069153.19854736,113525946.85645755,0.0,0.0,0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,,107021.79755231278,600619.3869157402,-14194285.652357921,0.0,0.0,0.0,0.0
2,Bükkzsérc,27125860.433608156,27125860.433608156,191344.08292967608,0.0,6772754.0084253205,0.0,0.0,0.0,0.0,239180.1036620951,265755.67073566123,0.0,0.0,0.0,0.0,0.0,85452611.01817927,85452611.01817927,58373654.78475948,0.0,0.0,0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,,47836.02073241901,265755.67073566123,-6772754.0084253205,0.0,0.0,0.0,0.0
3,Cserépfalu,27849636.617795352,27849636.617795352,196367.46427589093,0.0,6961123.564695441,0.0,0.0,0.0,0.0,245459.3303448636,272732.58927207073,0.0,0.0,0.0,0.0,0.0,91470806.53656496,91470806.53656496,63664376.70296332,0.0,0.0,0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,,49091.86606897268,272732.58927207073,-6961123.564695441,0.0,0.0,0.0,0.0
4,Cserépváralja,9466244.401546901,9466244.401546901,66096.72475007805,0.0,2366561.1003819657,0.0,0.0,0.0,0.0,82619.88920009747,91801.00659733059,0.0,0.0,0.0,0.0,0.0,31210911.108076688,31210911.108076688,21762923.33991071,0.0,0.0,0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,,16523.164450019423,91801.00659733059,-2366561.1003819657,0.0,0.0,0.0,0.0
5,Demjén,24514096.988879945,24514096.988879945,243893.2997159365,0.0,6123327.790528674,0.0,0.0,0.0,0.0,302866.0942441039,338740.69404991186,0.0,0.0,0.0,0.0,0.0,61482415.212730914,61482415.212730914,37318392.458118305,0.0,0.0,0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,,58972.794528167375,338740.69404991186,-6123327.790528674,0.0,0.0,0.0,0.0
6,Eger,1277893394.1962545,1277893394.1962545,11919937.511021575,0.0,291682710.2706562,0.0,0.0,0.0,21626271.24155513,14802875.134130443,16555468.765307743,1320.5,0.0,0.0,0.0,0.0,3061425378.23144,3061425378.23144,1797751429.600939,0.0,0.0,0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,,2882937.6231088676,16555468.765307743,-291681389.7706562,0.0,0.0,0.0,-21626271.24155513
7,Egerbakta,25518422.250846386,25518422.250846386,178360.27651001696,0.0,6379605.562684793,0.0,0.0,0.0,0.0,222599.68878129288,247722.60626391252,0.0,0.0,0.0,0.0,0.0,79589886.48409763,79589886.48409763,54114063.146248065,0.0,0.0,0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,,44239.41227127591,247722.60626391252,-6379605.562684793,0.0,0.0,0.0,0.0
8,Egerszalók,79644869.18240668,79644869.18240668,802545.1031034202,0.0,19911217.295632213,0.0,0.0,0.0,0.0,995758.4923533686,1114645.9765325275,0.0,0.0,0.0,0.0,0.0,179123113.56295142,179123113.56295142,100744782.48554043,0.0,0.0,0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,,193213.38924994832,1114645.9765325275,-19911217.295632213,0.0,0.0,0.0,0.0
9,Egerszólát,22861135.269669067,22861135.269669067,161014.6237701801,0.0,5715283.817400693,0.0,0.0,0.0,0.0,201073.29646899577,223631.4219030279,0.0,0.0,0.0,0.0,0.0,70767368.89942823,70767368.89942823,47949862.59565106,0.0,0.0,0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,,40058.67269881567,223631.4219030279,-5715283.817400693,0.0,0.0,0.0,0.0
