Telepules,Tombazonosito,QT_vil_cs,QT_vil_real_cs,QT_el_real_cs,QT_el_cs_real_cs,QT_ga_real_cs,QT_ol_real_cs,QT_sz_real_cs,QT_bm_real_cs,QT_th_real_cs,QT_el_real,QT_el_cs_real,QT_ga_real,QT_ol_real,QT_sz_real,QT_bm_real,QT_th_real,QT_vil,QT_vil_real,deltaQT,TFCO2_T,TFCO2_T_cs,TT_t,TT_e,adat_T,T_L1,T_L1_M,T_L2,T_L2_M,T_L3,T_L3_F,T_L4,T_L4_F,T_L5,T_L5_F,T_L6,T_L6_M,T_L7,T_L8,T_L8_M,T_L9,T_L10_A,T_L10_B,T_L11_A,T_L11_B,T_L12_A,T_L12_B,T_L12_F,T_L13,T_L13_F,T_K1,T_K1_M,T_K2,T_K2_F,T_K3,T_K3_M,T_K4,T_K4_F,T_K5,T_K5_F,T_K6,T_K6_M,T_K7,T_K7_F,T_K8,T_K8_M,T_K9,T_K10,T_K10_F,T_K11,T_K11_F,T_K12,T_K12_M,T_K13,T_K13_F,T_K14,T_K14_F,T_I1A,T_I1B,T_I2A,T_I2B,T_I3A,T_I3B,T_E,tomb_leiras,ET_vil_e_cs,ET_vil_t_cs,ET_vil_real_e_cs,ET_vil_real_t_cs,ET_vil_e,ET_vil_t,ET_vil_real_e,ET_vil_real_t,deltaET_e,deltaET_t,deltaTFCO2_T,potT,deltaQT_el_real,deltaQT_el_cs_real,deltaQT_ga_real,deltaQT_ol_real,deltaQT_sz_real,deltaQT_bm_real,deltaQT_th_real,deltaQT_TFCO2_T
Andornaktálya,T_1,867331.3575692368,867331.3575692368,7709.612067589825,0.0,289110.4525346183,0.0,0.0,0.0,0.0,9637.015084487279,10707.794538319204,0.0,0.0,0.0,0.0,0.0,2738345.5679544704,2738345.5679544704,1871014.210285234,0.0,0.0,0.0,2409.2537711218197,27.0,33139.465698369,0,0,0,26386.9830171423,0,1713.352500008775,0,3810.05061160175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1980 elott epult kis csaladi haz.,359.9999999856311,0,359.9999999856311,0,1136.5949078412839,0,1136.5949078412839,0,776.5949078141464,0,,0.6832644616810987,1927.403016897454,10707.794538319204,-289110.4525346183,0.0,0.0,0.0,0.0,0.0
Andornaktálya,T_20,328515.62645234,328515.62645234,2920.1389020312,0.0,109505.20882617001,0.0,0.0,0.0,0.0,3650.173627539,4055.748475043333,0.0,0.0,0.0,0.0,0.0,1024727.2389173085,1024727.2389173085,696211.6124649686,0.0,0.0,0.0,912.54340688475,11.0,9090.588057756775,0,3850.194261985375,0,12047.75178765985,0,15114.70728248275,0,4942.63875,0,1218.105,0,26645.21325,0,0,509261.1413,0,0,0,0,0,0,0,7996.244999,0,1185.6975,0,6606.056249,0,1633.515001,0,5777.43006,0,1255.196251,0,2407.275,0,627.6375,0,1992.09375,0,1116.03375,794.2274999,0,61.5375,0,9142.995001,0,1021.83525,0,340.4838557,0,8831.2475,612.4458347,3594.637155,3386.3643,276.8205,1053.330106,1334.900656,1980 elott epult kis csaladi haz.,359.9999999713219,0,359.9999999713219,0,1122.9353378548126,0,1122.9353378548126,0,762.9353378834909,0,,0.6794116385552136,730.0347255078,4055.748475043333,-109505.20882617001,0.0,0.0,0.0,0.0,0.0
Andornaktálya,T_2,748904.8038368397,748904.8038368397,6656.931589824526,0.0,249634.93461841985,0.0,0.0,0.0,0.0,8321.16448728066,9245.738319200731,0.0,0.0,0.0,0.0,0.0,1798599.8430738454,1798599.8430738454,1049695.0392370059,0.0,0.0,0.0,2080.291121820165,19.0,5588.993680591981,0,2469.518943248875,0,10245.519112968259,0,14470.88921199155,0,5225.8162500195,0,1218.105,0,26645.21325,0,0,509261.1413,0,0,0,0,0,0,0,7996.244999,0,1185.6975,0,6606.056249,0,1633.515001,0,5777.43006,0,1255.196251,0,2407.275,0,627.6375,0,1992.09375,0,1116.03375,794.2274999,0,61.5375,0,9142.995001,0,1021.83525,0,340.4838557,0,8831.2475,612.4458347,3594.637155,3386.3643,276.8205,1053.330106,1334.900656,1980 elott epult kis csaladi haz.,359.99999999114567,0,359.99999999114567,0,864.5904528497666,0,864.5904528497666,0,504.5904528586211,0,,0.5836178865906352,1664.2328974561333,9245.738319200731,-249634.93461841985,0.0,0.0,0.0,0.0,0.0
Andornaktálya,T_19,78445.030206698,78445.030206698,697.2891574226398,0.0,26148.343403348998,0.0,0.0,0.0,0.0,871.6114467783,968.4571630869999,0.0,0.0,0.0,0.0,0.0,294168.8632851175,294168.8632851175,215723.83307841947,0.0,0.0,0.0,217.902861694575,4.0,761.153502594575,0,19879.53,0,8447.868751,0,7582.342502,0,2173.82561,0,3718.035,0,26645.21325,0,0,509261.1413,0,0,0,0,0,0,0,7996.244999,0,14657.60043,0,6606.056249,0,219.88125,0,5016.498375,0,36.51000001,0,5178.777029,0,425.979,0,5986.01625,0,1586.88375,7100.355001,0,61.5375,0,14657.60043,0,2268.9225,0,340.4838557,0,8430.3095,612.4458347,2536.557,3386.3643,9557.3268,318.1393557,9557.3268,1980 elott epult kis csaladi haz.,359.99999998463073,0,359.99999998463073,0,1349.9999999882573,0,1349.9999999882573,0,990.0000000036265,0,,0.7333333333423984,174.32228935566013,968.4571630869999,-26148.343403348998,0.0,0.0,0.0,0.0,0.0
Andornaktálya,T_18,2148184.0511162663,2148184.0511162663,22262.706746634572,0.0,716061.3503581331,0.0,0.0,0.0,0.0,27828.38343329321,30920.426036992452,0.0,0.0,0.0,0.0,0.0,6122279.4399097115,6122279.4399097115,3985013.8322810973,0.0,0.0,0.0,5888.3185548653155,56.0,128883.73758341932,0,17251.7823826301,0,96402.50240277834,0,17320.830143560004,0,23270.4547740229,0,3718.035,0,26645.21325,0,0,37249.33501,0,0,0,0,0,0,0,7996.244999,0,12561.01697,0,4236.954907,0,1682.731133,0,953.416935,0,1786.925513,0,5616.3154024765,0,1757.140468,0,8183.0775,0,572.9062502,7100.355001,0,61.5375,0,8918.61525,0,18053.44489,0,340.4838557,0,6308.4845,612.4458347,2536.557,3582.15075,460.6710796,318.1393557,36437.62483197815,1980 elott epult kis csaladi haz.,364.8213035861138,0,364.8213035861138,0,1039.733055007882,0,1039.733055007882,0,676.7660063140465,0,,0.6491202219368238,5565.676686658637,30920.426036992452,-716061.3503581331,0.0,0.0,0.0,0.0,0.0
Andornaktálya,T_17,1164625.548208382,1164625.548208382,11590.463509530251,0.0,388208.51605419104,0.0,0.0,0.0,0.0,14488.079386912825,16097.865985458693,0.0,0.0,0.0,0.0,0.0,3280213.5172251645,3280213.5172251645,2120212.4313221723,0.0,0.0,0.0,3397.997389152006,33.0,27012.696369177873,0,19889.704329060503,0,19151.405782414593,0,12855.461701226825,0,12939.594268500965,0,3718.035,0,26645.21325,0,0,37249.33501,0,0,0,0,0,0,0,7996.244999,0,19312.28905,0,3880.948688,0,5089.6125,0,2891.691577,0,92.20125,0,272.34,0,2544.129007397,0,897.0150001,0,11379.4312500015,7100.355001,0,61.5375,0,9333.761447,0,10453.42875,0,340.4838557,0,6308.4845,612.4458347,2536.557,2826.23575,4118.24326237275,132.1228973,4118.24326237275,1980 elott epult kis csaladi haz.,342.73880019049176,0,342.73880019049176,0,965.3372682678149,0,965.3372682678149,0,623.9594056460668,0,,0.6449543476079644,2897.6158773825737,16097.865985458693,-388208.51605419104,0.0,0.0,0.0,0.0,0.0
Andornaktálya,T_43,1236824.106020732,1236824.106020732,10993.992053609756,0.0,412274.702010366,0.0,0.0,0.0,0.0,13742.4900670122,15269.433407791326,0.0,0.0,0.0,0.0,0.0,3976195.6824366925,3976195.6824366925,2739371.5761159603,0.0,0.0,0.0,3435.62251675305,36.0,3020615.018253744,0,531342.5974763947,0,679752.7189447334,0,500419.6219418818,0,243438.5822,0,373785.8109,0,73552.69852,135763.799,0,123231.5698,0,0,0,0,0,0,0,30098.445,0,366976.6384,0,12561.92164,0,394426.4056,0,46605.51366,0,20352.33375,0,394142.1029,0,195653.7217,0,100413.5847,0,5008.387406,12781.21836,0,1677.4875,0,190902.6481,0,42330.98264,0,1593.439736,0,22586.46425,8837.605327,10543.25675,4749.952991,143648.8402,5423.961316,146505.2482,1980 elott epult kis csaladi haz.,359.9999999969828,0,359.9999999969828,0,1157.3435856377287,0,1157.3435856377287,0,797.3435855534253,0,,0.6889428476863138,2748.4980134024445,15269.433407791326,-412274.702010366,0.0,0.0,0.0,0.0,0.0
Andornaktálya,T_16,21206.79049128959,21206.79049128959,1051.208546021282,0.0,7068.930163644794,0.0,0.0,0.0,0.0,1148.8570608826026,1460.0118694740029,0.0,0.0,0.0,0.0,0.0,33790.13319764849,33790.13319764849,13315.7065716655,0.0,0.0,0.0,195.53102384852502,2.0,770.6161575,0,416.08299,0,326.52,0,116794.5795,0,6495.82875,0,3718.035,0,26645.21325,0,0,37249.33501,0,0,0,0,0,0,0,7996.244999,0,8225.860019,0,23017.4617,0,18124.90317,0,2147.1075,0,7426.533126533325,0,15210.77123,0,2140.485,0,121.7625,0,10793.3175,7100.355001,0,61.5375,0,8225.860019,0,611.175,0,55398.37875,0,6308.4845,612.4458347,2536.557,13852.7955,7484.34225,264.2457946152,264.2457946152,1980 elott epult kis csaladi haz.,108.45742058671046,0,108.45742058671046,0,172.81213248197994,0,172.81213248197994,0,68.10022424871553,0,,0.372396954837532,97.64851486132056,1460.0118694740029,-7068.930163644794,0.0,0.0,0.0,0.0,0.0
Andornaktálya,T_15,582451.360893146,582451.360893146,5177.345430575279,0.0,194150.453646573,0.0,0.0,0.0,0.0,6471.6817882191,7190.757542465666,0.0,0.0,0.0,0.0,0.0,1758096.7656691312,1758096.7656691312,1175645.404775985,0.0,0.0,0.0,1617.920447054775,22.0,13320.2413125,0,7026.0000010258,0,4959.9405010261,0,9073.944339502874,0,1033.13092,0,3718.035,0,26645.21325,0,0,961.5750001,0,0,0,0,0,0,0,7996.244999,0,888.0115224,0,11759.01473,0,2609.79225,0,122.68935,0,742.1999999,0,1068.67839,0,4521.960384,0,26473.01854,0,13142.682,5755.04856,0,61.5375,0,4367.89875,0,1448.505,0,55398.37875,0,6308.4845,612.4458347,2536.557,13852.7955,296.7434725,7189.7045,296.7434725,1980 elott epult kis csaladi haz.,359.9999999712143,0,359.9999999712143,0,1086.6398090644877,0,1086.6398090644877,0,726.6398090932732,0,,0.668703468280675,1294.3363576438205,7190.757542465666,-194150.453646573,0.0,0.0,0.0,0.0,0.0
Andornaktálya,T_14,737292.554499325,737292.554499325,6553.711595991,0.0,245764.1848496625,0.0,0.0,0.0,0.0,8192.139494988749,9102.377216654166,0.0,0.0,0.0,0.0,0.0,2141320.3577119918,2141320.3577119918,1404027.803112667,0.0,0.0,0.0,2048.0348737471872,22.0,29202.277785854327,0,16141.006683542639,0,22409.962752261777,0,13651.844772061451,0,9342.779575027,0,3718.035,0,26645.21325,0,0,961.5750001,0,0,0,0,0,0,0,7996.244999,0,809.9707499,0,8511.318,0,24167.6775,0,33513.23976,0,3619.50225,0,3096.574781,0,630.6202571,0,6469.708537,0,2766.534912,5755.04856,0,809.9707499,0,4441.432501,0,41919.05175,0,55398.37875,0,6308.4845,612.4458347,2536.557,13852.7955,1835.001,3902.9325,612.4458347,1980 elott epult kis csaladi haz.,359.99999997575117,0,359.99999997575117,0,1045.548777103646,0,1045.548777103646,0,685.5487770790677,0,,0.6556832087996751,1638.4278989977493,9102.377216654166,-245764.1848496625,0.0,0.0,0.0,0.0,0.0
