Telepules,Tombazonosito,QT_vil_cs,QT_vil_real_cs,QT_el_real_cs,QT_el_cs_real_cs,QT_ga_real_cs,QT_ol_real_cs,QT_sz_real_cs,QT_bm_real_cs,QT_th_real_cs,QT_el_real,QT_el_cs_real,QT_ga_real,QT_ol_real,QT_sz_real,QT_bm_real,QT_th_real,QT_vil,QT_vil_real,deltaQT,TFCO2_T,TFCO2_T_cs,TT_t,TT_e,adat_t,adat_T,T_L1,T_L1_M,T_L2,T_L2_M,T_L3,T_L3_F,T_L4,T_L4_F,T_L5,T_L5_F,T_L6,T_L6_M,T_L7,T_L8,T_L8_M,T_L9,T_L10_A,T_L10_B,T_L11_A,T_L11_B,T_L12_A,T_L12_B,T_L12_F,T_L13,T_L13_F,T_K1,T_K1_M,T_K2,T_K2_F,T_K3,T_K3_M,T_K4,T_K4_F,T_K5,T_K5_F,T_K6,T_K6_M,T_K7,T_K7_F,T_K8,T_K8_M,T_K9,T_K10,T_K10_F,T_K11,T_K11_F,T_K12,T_K12_M,T_K13,T_K13_F,T_K14,T_K14_F,T_I1A,T_I1B,T_I2A,T_I2B,T_I3A,T_I3B,T_E,tomb_leiras,ET_vil_e_cs,ET_vil_t_cs,ET_vil_real_e_cs,ET_vil_real_t_cs,ET_vil_e,ET_vil_t,ET_vil_real_e,ET_vil_real_t,deltaET_e,deltaET_t,deltaTFCO2_T,potT,deltaQT_el_real,deltaQT_el_cs_real,deltaQT_ga_real,deltaQT_ol_real,deltaQT_sz_real,deltaQT_bm_real,deltaQT_th_real
Szarvaskő,Szarvaskő_001,199998.02218302005,199998.02218302005,0.0,0.0,199998.02218302005,0.0,0.0,0.0,0.0,6666.600739434,7407.334154926666,251197.5241918125,0.0,0.0,418662.5403196875,0.0,502395.048383625,502395.048383625,302397.026200605,0.0,0.0,9271.3749998,1666.6501848585,11.0,1,92.67375,0.0,0.0,0.0,846.1772202284999,0.0,549.705640395,0.0,178.093574235,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1980-89 kozott epult csaladi haz.,120.00000000000001,21.57156000995908,120.00000000000001,21.57156000995908,301.4400099960261,54.18776054193283,301.4400099960261,54.18776054193283,181.44000999602608,32.61620053197376,0.0,0.6019108412264782,6666.600739434,7407.334154926666,51199.50200879245,0.0,0.0,418662.5403196875,0.0
Szarvaskő,Szarvaskő_002,69821.3531241,69821.3531241,0.0,0.0,69821.3531241,0.0,0.0,0.0,0.0,2859.2353124700003,3176.9281249666665,103514.6777326875,0.0,0.0,172524.4628878125,0.0,207029.355465375,207029.355465375,137845.237497525,0.0,0.0,5537.525,561.7068749925,4.0,1,273.4087499925,0.0,122.7825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,165.515625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1980 elott epult kis csaladi haz.,124.30211598359422,12.6087653101521,124.30211598359422,12.6087653101521,368.57187384103014,37.386622266332886,368.57187384103014,37.386622266332886,245.40421994900012,24.892932762836285,0.0,0.6627466043781536,2859.2353124700003,3176.9281249666665,33693.3246085875,0.0,0.0,172524.4628878125,0.0
Szarvaskő,Szarvaskő_003,155562.01095495,155562.01095495,0.0,0.0,155562.01095495,0.0,0.0,0.0,0.0,5921.124915165,6579.027683516666,246432.72449865,0.0,0.0,410721.20749774994,0.0,492865.4489973,492865.4489973,337926.43060485,0.0,0.0,12896.314955710002,1330.60119754125,13.0,1,594.4837500450001,0.0,257.92875001125,0.0,161.088749985,0.0,0.0,0.0,155.2836975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,161.81625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1980 elott epult kis csaladi haz.,116.91107090719977,12.062516423427843,116.91107090719977,12.062516423427843,370.40809064958074,38.21754126585422,370.40809064958074,38.21754126585422,253.96522356156524,26.203332639238074,0.0,0.6843722535807086,5921.124915165,6579.027683516666,90870.7135437,0.0,0.0,410721.20749774994,0.0
Szarvaskő,Szarvaskő_004,15581.25,15581.25,0.0,0.0,15581.25,0.0,0.0,0.0,0.0,519.375,577.0833333333334,29214.84375,0.0,0.0,48691.40625,0.0,58429.6875,58429.6875,42848.4375,0.0,0.0,1483.075,129.84375,1.0,1,129.84375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1980 elott epult kis csaladi haz.,120.0,10.506043187296664,120.0,10.506043187296664,450.0,39.39766195236249,450.0,39.39766195236249,330.0,28.891618765065825,0.0,0.7333333333333334,519.375,577.0833333333334,13633.59375,0.0,0.0,48691.40625,0.0
Szarvaskő,Szarvaskő_005,60083.100000000006,60083.100000000006,0.0,0.0,60083.100000000006,0.0,0.0,0.0,0.0,2002.77,2225.3,93192.2325,0.0,0.0,155320.3875,0.0,186384.465,186384.465,126301.365,0.0,0.0,5106.97,500.6925,6.0,1,221.41875000000002,0.0,0.0,0.0,197.23875,0.0,82.035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1980 elott epult kis csaladi haz.,120.00000000000001,11.764921274258514,120.00000000000001,11.764921274258514,372.25335909764976,36.49609553218444,372.25335909764976,36.49609553218444,252.25335909764976,24.731174257925932,0.0,0.6776389062253659,2002.77,2225.3,33109.13249999999,0.0,0.0,155320.3875,0.0
Szarvaskő,Szarvaskő_006,22521.0078009,22521.0078009,0.0,0.0,22521.0078009,0.0,0.0,0.0,0.0,1206.97110003,1341.0790000333332,21353.9186266875,0.0,0.0,35589.864377812504,0.0,42707.837253375,42707.837253375,20733.502502475,0.0,0.0,1634.2949999999998,170.3992500075,2.0,1,28.4062500075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,141.993,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1980 utan epult kereskedelmi epulet.,132.16612044893833,13.780258644186025,132.16612044893833,13.780258644186025,250.63395086243187,26.13226942098887,250.63395086243187,26.13226942098887,121.67601970996016,12.686511616614505,0.0,0.47267271654875775,1206.97110003,1341.0790000333332,-1167.0891742124986,0.0,0.0,35589.864377812504,0.0
Szarvaskő,Szarvaskő_007,116663.59944666001,116663.59944666001,0.0,0.0,116663.59944666001,0.0,0.0,0.0,0.0,3888.786648222,4320.87405358,196485.66199410748,0.0,0.0,327476.10332351254,0.0,392971.32398821495,392971.32398821495,276307.724541555,0.0,0.0,7746.28500002,972.1966620555,12.0,1,700.4887500825,0.0,0.0,0.0,91.219661973,0.0,180.48825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1980 elott epult kis csaladi haz.,120.0,15.060587035767313,120.0,15.060587035767313,404.2097029600594,50.73029510109689,404.2097029600594,50.73029510109689,284.2097029600595,35.66970806532959,0.0,0.7031243952798991,3888.786648222,4320.87405358,79822.06254744747,0.0,0.0,327476.10332351254,0.0
Szarvaskő,Szarvaskő_008,68480.5500009,68480.5500009,0.0,0.0,68480.5500009,0.0,0.0,0.0,0.0,2282.6850000299996,2536.3166666999996,113314.7812516875,0.0,0.0,188857.96875281248,0.0,226629.562503375,226629.562503375,158149.012502475,0.0,0.0,4239.2300001,570.6712500074999,6.0,1,319.2337500075,0.0,0.0,0.0,251.4375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1980 elott epult kis csaladi haz.,120.00000000000001,16.15400674162161,120.00000000000001,16.15400674162161,397.12805314863255,53.460077065417295,397.12805314863255,53.460077065417295,277.12805314863255,37.30607032379569,0.0,0.6978304628731735,2282.6850000299996,2536.3166666999996,44834.2312507875,0.0,0.0,188857.96875281248,0.0
Szarvaskő,Szarvaskő_009,193016.52179333993,193016.52179333993,0.0,0.0,193016.52179333993,0.0,0.0,0.0,0.0,6433.884059778001,7148.76006642,335339.79336111754,0.0,0.0,558899.6556018626,0.0,670679.5867222351,670679.5867222351,477663.0649288951,0.0,0.0,15065.0302194,1608.4710149445002,14.0,1,1120.1910074445002,0.0,0.0,0.0,189.64875,0.0,142.147500015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1980 elott epult kis csaladi haz.,119.99999999999994,12.812222676114038,119.99999999999994,12.812222676114038,416.9671573132928,44.51896723436818,416.9671573132928,44.51896723436818,296.9671573132928,31.70674455825414,0.0,0.7122075494549402,6433.884059778001,7148.76006642,142323.2715677776,0.0,0.0,558899.6556018626,0.0
Szarvaskő,Szarvaskő_010,66560.46525323999,66560.46525323999,0.0,0.0,66560.46525323999,0.0,0.0,0.0,0.0,2879.092125108,3198.9912501199997,108104.73909731401,0.0,0.0,180174.56516219,0.0,216209.47819462803,216209.47819462803,150268.77600388802,0.0,0.0,2521.0852449,704.120250027,5.0,1,200.595,0.0,0.0,0.0,79.30499999999999,0.0,129.991500027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.97625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,250.2525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Vegyes típusu epuletekbol allo tomb,94.52996878116726,26.40151315307077,94.52996878116726,26.40151315307077,307.06328668482024,85.76047899689488,307.06328668482024,85.76047899689488,213.41351281705911,59.6047976988769,0.0,0.6921482545121198,2879.092125108,3198.9912501199997,41544.27384407402,0.0,0.0,180174.56516219,0.0
