Telepules,QK_vil_cs,QK_vil_real_cs,QK_el_real_cs,QK_el_cs_real_cs,QK_ga_real_cs,QK_ol_real_cs,QK_sz_real_cs,QK_bm_real_cs,QK_th_real_cs,QK_el_real,QK_el_cs_real,QK_ga_real,QK_ol_real,QK_sz_real,QK_bm_real,QK_th_real,QK_vil,QK_vil_real,deltaQK,TFCO2_K,TFCO2_K_cs,TK_t,TK_e,EK_vil_e_cs,EK_vil_t_cs,EK_vil_real_e_cs,EK_vil_real_t_cs,EK_vil_e,EK_vil_t,EK_vil_real_e,EK_vil_real_t,deltaEK_e,deltaEK_t,deltaTFCO2_K,potK,deltaQK_el_real,deltaQK_el_cs_real,deltaQK_ga_real,deltaQK_ol_real,deltaQK_sz_real,deltaQK_bm_real,deltaQK_th_real,leirasK_minus,leirasK_minus_est,leirasK_plus,leirasK_plus_est,QK_el_minus,QK_el_cs_minus,QK_ga_minus,QK_ol_minus,QK_sz_minus,QK_bm_minus,QK_th_minus,QK_el_minus_est,QK_el_cs_minus_est,QK_ga_minus_est,QK_ol_minus_est,QK_sz_minus_est,QK_bm_minus_est,QK_th_minus_est,QK_el_plus,QK_el_cs_plus,QK_ga_plus,QK_ol_plus,QK_sz_plus,QK_bm_plus,QK_th_plus,QK_el_plus_est,QK_el_cs_plus_est,QK_ga_plus_est,QK_ol_plus_est,QK_sz_plus_est,QK_bm_plus_est,QK_th_plus_est,QK_minus,QK_plus
Aldebrő,4932935.233420904,4932935.233420904,139888.8507519072,0.0,4932935.233420904,0.0,0.0,0.0,0.0,174861.06343988402,0.0,16783230.934106104,0.0,0.0,0.0,0.0,16783230.934106104,16783230.934106104,11860365.299724223,0.0,0.0,958891.51654024,42174.236200517254,116.96560928732131,5.144414303736196,116.96560928732131,5.144414303736196,397.949849152224,17.502742119005696,397.949849152224,17.502742119005696,281.2230017239473,12.368829106463892,0.0,0.7060795234964907,34972.21268797683,0.0,11850295.7006852,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
Andornaktálya,14913543.69166057,14913543.69166057,414335.2956921567,0.0,14913543.69166057,0.0,0.0,0.0,0.0,517637.90833489,0.0,41523557.43154183,0.0,0.0,0.0,0.0,41523557.43154183,41523557.43154183,26634238.50870502,0.0,0.0,1363702.95988177,126112.48392360077,118.25588734494539,10.936064619932731,118.25588734494539,10.936064619932731,329.2581046670756,30.44912173186295,329.2581046670756,30.44912173186295,211.19430590900186,19.530821074857936,0.0,0.6408413774217705,103302.61264273326,0.0,26610013.739881262,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
Bogács,14705997.979294902,14705997.979294902,454034.6541982935,0.0,14705997.979294902,0.0,0.0,0.0,0.0,566453.6235450957,0.0,43686786.0619332,0.0,0.0,0.0,0.0,43686786.0619332,43686786.0619332,29057535.8790383,0.0,0.0,1327691.1205913224,125402.93067023352,117.26997049189072,11.07636991105672,117.26997049189072,11.07636991105672,348.3713325393837,32.904329466688104,348.3713325393837,32.904329466688104,231.71337163921316,21.885765015960004,0.0,0.6633765194251934,112418.96934680216,0.0,28980788.082638294,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
Bükkzsérc,6865813.110665961,6865813.110665961,193960.99719645665,0.0,6865813.110665961,0.0,0.0,0.0,0.0,242451.24649557078,0.0,21608371.984004848,0.0,0.0,0.0,0.0,21608371.984004848,21608371.984004848,14754407.013639426,0.0,0.0,732426.8362511602,58400.73462745576,117.56381412774485,9.374060002781725,117.56381412774485,9.374060002781725,370.0017152497628,29.502430706396193,370.0017152497628,29.502430706396193,252.6407776847208,20.144547254928703,0.0,0.6822614347925777,48490.24929911413,0.0,14742558.873338886,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
Cserépfalu,7138115.797978628,7138115.797978628,201300.73393663156,0.0,7138115.797978628,0.0,0.0,0.0,0.0,251625.91742078948,0.0,23505916.06441973,0.0,0.0,0.0,0.0,23505916.06441973,23505916.06441973,16378846.40422326,0.0,0.0,804908.7886496597,60851.357469225244,117.30413412040372,8.868229417588738,117.30413412040372,8.868229417588738,386.2841691955275,29.20320463124026,386.2841691955275,29.20320463124026,269.16156163823695,20.348698678891214,0.0,0.6963268405104449,50325.183484157926,0.0,16367800.266441103,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
Cserépváralja,2386385.8503937745,2386385.8503937745,66625.38475058257,0.0,2386385.8503937745,0.0,0.0,0.0,0.0,83280.71420072825,0.0,7857714.814531357,0.0,0.0,0.0,0.0,7857714.814531357,7857714.814531357,5475893.1225127,0.0,0.0,255455.86521879994,20029.803875162754,119.14174823014255,9.341675707268715,119.14174823014255,9.341675707268715,392.301136022357,30.75957879378171,392.301136022357,30.75957879378171,273.38725614297636,21.435769806352088,0.0,0.6963002721884732,16655.329450145684,0.0,5471328.964137582,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
Demjén,14033962.101123797,14033962.101123797,699735.463271019,0.0,14033962.101123797,0.0,0.0,0.0,0.0,870625.6652860518,0.0,26027203.713286042,0.0,0.0,0.0,0.0,26027203.713286042,26027203.713286042,12358109.93345714,0.0,0.0,1076377.1813211679,113786.36338951474,123.33606315444482,13.038145312499303,123.33606315444482,13.038145312499303,228.73745972695718,24.1803748397376,228.73745972695718,24.1803748397376,108.60800508363837,11.481207654633236,0.0,0.4607963938146795,170890.20201503276,0.0,11993241.612162245,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
Eger,347823810.6207403,347823810.6207403,13049544.059708582,0.0,347823810.6207403,0.0,0.0,0.0,0.0,16211252.350134687,0.0,822686541.6510236,0.0,0.0,0.0,0.0,822686541.6510236,822686541.6510236,478697798.416494,0.0,0.0,11157426.013458896,3281740.6951525304,105.98759711104292,31.17419826052801,105.98759711104292,31.17419826052801,250.68602856594262,73.73443845010843,250.68602856594262,73.73443845010843,145.86703913675447,42.90396349830633,0.0,0.5772097961847003,3161708.2904261053,0.0,474862731.03028333,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
Egerbakta,6395584.809125504,6395584.809125504,178789.6235666736,0.0,6395584.809125504,0.0,0.0,0.0,0.0,223136.37260209193,0.0,19962151.95203965,0.0,0.0,0.0,0.0,19962151.95203965,19962151.95203965,13577221.026377514,0.0,0.0,832418.9575696503,54111.24591197401,118.19326465943112,7.6831320946824695,118.19326465943112,7.6831320946824695,368.9094866622231,23.980895401903886,368.9094866622231,23.980895401903886,250.9131105290828,16.310562010766652,0.0,0.679614461181775,44346.749035418325,0.0,13566567.142914146,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
Egerszalók,21494122.97384077,21494122.97384077,872616.7887572378,0.0,21494122.97384077,0.0,0.0,0.0,0.0,1082567.5553481271,0.0,47417215.439552926,0.0,0.0,0.0,0.0,47417215.439552926,47417215.439552926,26278072.89901335,0.0,0.0,1699822.5995820519,187065.49615633985,114.90159016752652,12.644921287154137,114.90159016752652,12.644921287154137,253.47921671201203,27.895390643242273,253.47921671201203,27.895390643242273,140.47525299401804,15.459303168150923,0.0,0.546702125491926,209950.7665908893,0.0,25923092.465712156,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
