Telepules,Tombazonosito,QT_vil_cs,QT_vil_real_cs,QT_el_real_cs,QT_el_cs_real_cs,QT_ga_real_cs,QT_ol_real_cs,QT_sz_real_cs,QT_bm_real_cs,QT_th_real_cs,QT_el_real,QT_el_cs_real,QT_ga_real,QT_ol_real,QT_sz_real,QT_bm_real,QT_th_real,QT_vil,QT_vil_real,deltaQT,TFCO2_T,TFCO2_T_cs,TT_t,TT_e,adat_t,adat_T,T_L1,T_L1_M,T_L2,T_L2_M,T_L3,T_L3_F,T_L4,T_L4_F,T_L5,T_L5_F,T_L6,T_L6_M,T_L7,T_L8,T_L8_M,T_L9,T_L10_A,T_L10_B,T_L11_A,T_L11_B,T_L12_A,T_L12_B,T_L12_F,T_L13,T_L13_F,T_K1,T_K1_M,T_K2,T_K2_M,T_K2_F,T_K3,T_K3_M,T_K4,T_K4_F,T_K5,T_K5_F,T_K6,T_K6_M,T_K7,T_K7_F,T_K8,T_K8_M,T_K9,T_K10,T_K10_F,T_K11,T_K11_F,T_K12,T_K12_M,T_K13,T_K13_F,T_K14,T_K14_F,T_I1A,T_I1B,T_I2A,T_I2B,T_I3A,T_I3B,T_E,tomb_leiras,ET_vil_e_cs,ET_vil_t_cs,ET_vil_real_e_cs,ET_vil_real_t_cs,ET_vil_e,ET_vil_t,ET_vil_real_e,ET_vil_real_t,deltaET_e,deltaET_t,deltaTFCO2_T,potT,deltaQT_el_real,deltaQT_el_cs_real,deltaQT_ga_real,deltaQT_ol_real,deltaQT_sz_real,deltaQT_bm_real,deltaQT_th_real
Aldebrő,Aldebrő_001,675963.7346393998,675963.7346393998,18025.699590383996,0.0,675963.7346393998,0.0,0.0,0.0,0.0,22532.124487980003,0.0,2377080.38170935,0.0,0.0,0.0,0.0,2377080.38170935,2377080.38170935,1701116.6470699494,0.0,0.0,110930.65078335995,5633.031121995001,12.0,1,3964.691060737499,0.0,605.9597737500001,0.0,665.8359,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Tömbre jellemző épülettípus: 1980 elott epult kis csaladi haz.,119.99999999999994,6.093570441225584,119.99999999999994,6.093570441225584,421.989570131734,21.428526425501882,421.989570131734,21.428526425501882,301.98957013173396,15.334955984276295,0.0,0.7156327821975811,4506.424897596007,0.0,1701116.6470699501,0.0,0.0,0.0,0.0
Aldebrő,Aldebrő_002,1151568.8507876399,1151568.8507876399,31116.856289539213,0.0,1151568.8507876399,0.0,0.0,0.0,0.0,38896.07036192398,0.0,4003188.7976999707,0.0,0.0,0.0,0.0,4003188.7976999707,4003188.7976999707,2852457.390822414,0.0,0.0,231765.2529923901,9544.565324034746,28.0,1,6853.531520189999,0.0,853.0622850750001,0.0,935.9751976612499,0.0,95.7098025135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,239.26968859500002,0.0,0.0,0.0,0.0,0.0,0.0,Tömbre jellemző épülettípus: 1980 elott epult kis csaladi haz.,120.65178577465491,4.968686357939303,120.65178577465491,4.968686357939303,419.42075535061815,17.272601246362903,419.42075535061815,17.272601246362903,298.85670996870533,12.307528216561751,0.0,0.7123371119920017,7779.214072384766,0.0,2851619.9469123306,0.0,0.0,0.0,0.0
Aldebrő,Aldebrő_003,376921.17423251993,376921.17423251993,10051.2313128672,0.0,376921.17423251993,0.0,0.0,0.0,0.0,12564.039141084,0.0,1358477.5162503303,0.0,0.0,0.0,0.0,1358477.5162503303,1358477.5162503303,981556.34201781,0.0,0.0,73693.48910699999,3141.009785271,6.0,1,2473.8963967575005,0.0,358.23885000000007,0.0,308.87453851350006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Tömbre jellemző épülettípus: 1980 elott epult kis csaladi haz.,119.99999999999997,5.1147147298894415,119.99999999999997,5.1147147298894415,432.497065950122,18.434159282075456,432.497065950122,18.434159282075456,312.4970659501219,13.31944455218601,0.0,0.7225414703418149,2512.8078282168008,0.0,981556.3420178103,0.0,0.0,0.0,0.0
Aldebrő,Aldebrő_004,68092.84413,68092.84413,2294.506068,0.0,68092.84413,0.0,0.0,0.0,0.0,2868.1325850000003,0.0,239028.95328750001,0.0,0.0,0.0,0.0,239028.95328750001,239028.95328750001,171442.794375,0.0,0.0,7464.904149999999,595.2970875000001,1.0,1,463.6905375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,131.60655,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Tömbre jellemző épülettípus: 1980 elott epult kis csaladi haz.,114.38464181970315,9.121730535548807,114.38464181970315,9.121730535548807,401.5288472035402,32.02036469383201,401.5288472035402,32.02036469383201,287.99535219463,22.966509807764915,0.0,0.7151272128606987,573.6265170000001,0.0,170936.10915750003,0.0,0.0,0.0,0.0
Aldebrő,Aldebrő_005,38181.897003599996,38181.897003599996,1018.1839200960001,0.0,38181.897003599996,0.0,0.0,0.0,0.0,1272.72990012,0.0,136295.7468885,0.0,0.0,0.0,0.0,136295.7468885,136295.7468885,98113.8498849,0.0,0.0,7226.6584490000005,318.18247503,0.0,0,180.45513753,0.0,137.7273375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Tömbre jellemző épülettípus: 1980 elott epult kis csaladi haz.,120.0,5.283478840609033,120.0,5.283478840609033,428.35717735758163,18.860134023264948,428.35717735758163,18.860134023264948,308.3571773575817,13.576655182655914,0.0,0.7198599525278245,254.54598002399985,0.0,98113.8498849,0.0,0.0,0.0,0.0
Aldebrő,Aldebrő_006,310957.0731289949,310957.0731289949,8946.449536566,0.0,310957.0731289949,0.0,0.0,0.0,0.0,11183.0619207075,0.0,1048460.7054116811,0.0,0.0,0.0,0.0,1048460.7054116811,1048460.7054116811,738483.4966011001,0.0,0.0,61856.426283559995,2560.3435335449994,6.0,1,1642.9565234699996,0.0,524.8985625,0.0,137.978235,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Tömbre jellemző épülettípus: 1980 elott epult kis csaladi haz.,121.45130880091317,5.027077893305972,121.45130880091317,5.027077893305972,409.5000111020273,16.949907526266802,409.5000111020273,16.949907526266802,288.43141044382077,11.938670579120926,0.0,0.7034156153645293,2236.612384141499,0.0,737503.6322826862,0.0,0.0,0.0,0.0
Aldebrő,Aldebrő_007,46441.861737344996,46441.861737344996,3887.926107462,0.0,46441.861737344996,0.0,0.0,0.0,0.0,4859.9076343275,0.0,115347.24180193125,0.0,0.0,0.0,0.0,115347.24180193125,115347.24180193125,71335.33388175,0.0,0.0,4540.2442,764.739787575,1.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,250.8753,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Vegyes típusu epuletekbol allo tomb,60.72897277204937,10.228934764642174,60.72897277204937,10.228934764642174,150.83201328872775,25.405514928455002,150.83201328872775,25.405514928455002,93.28053154911069,15.711783494321738,0.0,0.5973734524394373,971.9815268655002,0.0,68905.38006458625,0.0,0.0,0.0,0.0
Aldebrő,Aldebrő_008,152621.7255018,152621.7255018,4069.9126800480003,0.0,152621.7255018,0.0,0.0,0.0,0.0,5087.39085006,0.0,533348.0741317499,0.0,0.0,0.0,0.0,533348.0741317499,533348.0741317499,380726.34862995,0.0,0.0,19712.2110501,1271.847712515,1.0,1,946.9860750149999,0.0,0.0,0.0,163.852125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Tömbre jellemző épülettípus: 1980 elott epult kis csaladi haz.,120.00000000000001,7.742496522277534,120.00000000000001,7.742496522277534,419.3490060827229,27.056735176800185,419.3490060827229,27.056735176800185,299.34900608272295,19.314238654522654,0.0,0.7138421737994338,1017.4781700119997,0.0,380726.3486299499,0.0,0.0,0.0,0.0
Aldebrő,Aldebrő_009,19829.16379125,19829.16379125,705.0369348,0.0,19829.16379125,0.0,0.0,0.0,0.0,881.2961685,0.0,70503.69348,0.0,0.0,0.0,0.0,70503.69348,70503.69348,50674.52968875,0.0,0.0,18094.53414,220.324042125,1.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,220.324042125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Tömbre jellemző épülettípus: 2002 elott epult kis tarsashaz.,90.0,1.0958648417156762,90.0,1.0958648417156762,320.0,3.8964083261001825,320.0,3.8964083261001825,230.0,2.800543484384506,0.0,0.71875,176.25923369999998,0.0,50674.52968875,0.0,0.0,0.0,0.0
Aldebrő,Aldebrő_010,513367.0059743999,513367.0059743999,13689.786825983998,0.0,513367.0059743999,0.0,0.0,0.0,0.0,17112.23353248,0.0,1841973.9746031002,0.0,0.0,0.0,0.0,1841973.9746031002,1841973.9746031002,1328606.9686287,0.0,0.0,131094.55856863,4278.05838312,11.0,1,3585.1225681124997,0.0,0.0,0.0,286.1295525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Tömbre jellemző épülettípus: 1980 elott epult kis csaladi haz.,119.99999999999997,3.916005451177018,119.99999999999997,3.916005451177018,430.563075499625,14.050727922767281,430.563075499625,14.050727922767281,310.5630754996249,10.13472247159026,0.0,0.721295190348703,3422.4467064960027,0.0,1328606.9686287004,0.0,0.0,0.0,0.0
